state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_beta,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_C,HALLMARK_IL2_STAT5_SIGNALING,14,55,6,0.009724,0.22446614,0.0202108,-0.00472529,0.0451469,0.11027052,-1.07844491,B0;B8;BP;CJ;CZ;G6,0.33235553
STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,14,55,6,0.08538426,1.09004379,0.09528013,0.04850881,0.14205146,0.00013437,-0.11589811,B0;B8;BP;CJ;CZ;G6,0.00167963
STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,14,55,6,0.06866522,0.83025091,0.08446508,0.03556046,0.1333697,0.00100618,-0.23009994,B0;B8;BP;CJ;CZ;G6,0.0100618
STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,14,55,6,0.09523942,1.34769077,0.09756498,0.05527023,0.13985974,2.054e-05,-0.02441813,B0;B8;BP;CJ;CZ;G6,0.00085075
STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,14,55,6,0.08872555,1.17537861,0.09672042,0.05200113,0.1414397,5.672e-05,-0.09010788,B0;B8;BP;CJ;CZ;G6,0.00094533
STATE_C,HALLMARK_KRAS_SIGNALING_DN,14,55,6,0.00018328,0.00660882,0.00452595,-0.01200338,0.02105527,0.58610691,-23.69396563,B0;B8;BP;CJ;CZ;G6,0.69092377
STATE_C,HALLMARK_KRAS_SIGNALING_UP,14,55,6,0.02218603,0.40513963,0.03528299,0.00392784,0.06663815,0.02804927,-0.59032504,B0;B8;BP;CJ;CZ;G6,0.14024635
STATE_C,HALLMARK_MITOTIC_SPINDLE,14,55,6,-0.00467459,-0.11672851,-0.000516,-0.02536937,0.02433737,0.96702883,0.88961572,B0;B8;BP;CJ;CZ;G6,0.96702883
STATE_C,HALLMARK_MTORC1_SIGNALING,14,55,6,-1.15e-05,-0.00036168,-0.00055657,-0.01883515,0.01772202,0.95166106,-47.4041035,B0;B8;BP;CJ;CZ;G6,0.96702883
STATE_C,HALLMARK_MYC_TARGETS_V1,14,55,6,-0.00872124,-0.40057573,-0.01018438,-0.02284804,0.00247928,0.11300088,-0.16776767,B0;B8;BP;CJ;CZ;G6,0.33235553
STATE_C,HALLMARK_MYC_TARGETS_V2,14,55,6,-0.00387036,-0.07097828,-0.01305596,-0.04634518,0.02023326,0.43602976,-2.37331642,B0;B8;BP;CJ;CZ;G6,0.62289966
STATE_C,HALLMARK_MYOGENESIS,14,55,6,-0.02432474,-0.54837461,-0.00955565,-0.03385742,0.01474612,0.43485446,0.60716329,B0;B8;BP;CJ;CZ;G6,0.62289966
STATE_C,HALLMARK_NOTCH_SIGNALING,14,55,6,-0.02368391,-0.44500148,-0.00866724,-0.03849466,0.02116018,0.56343999,0.63404517,B0;B8;BP;CJ;CZ;G6,0.68712194
STATE_C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,14,55,6,-0.0007499,-0.01463928,-0.0124263,-0.0430511,0.01819849,0.42040992,-15.57063291,B0;B8;BP;CJ;CZ;G6,0.62289966
STATE_C,HALLMARK_P53_PATHWAY,14,55,6,0.00792255,0.27448601,0.00863096,-0.00921704,0.02647895,0.33746703,-0.08941732,B0;B8;BP;CJ;CZ;G6,0.56244505
STATE_C,HALLMARK_PANCREAS_BETA_CELLS,14,55,6,-0.08783523,-0.95446971,-0.08308397,-0.14212045,-0.0240475,0.006562,0.05409287,B0;B8;BP;CJ;CZ;G6,0.0410125
STATE_C,HALLMARK_PEROXISOME,14,55,6,-0.00681378,-0.19757279,-0.00962601,-0.03044694,0.01119492,0.35897993,-0.41272558,B0;B8;BP;CJ;CZ;G6,0.57899989
STATE_C,HALLMARK_PI3K_AKT_MTOR_SIGNALING,14,55,6,0.00862407,0.42632182,0.00759931,-0.00453492,0.01973355,0.21530996,0.11882501,B0;B8;BP;CJ;CZ;G6,0.44856242
STATE_C,HALLMARK_PROTEIN_SECRETION,14,55,6,-0.0169816,-0.37724551,-0.01500183,-0.04036259,0.01035894,0.2415362,0.11658368,B0;B8;BP;CJ;CZ;G6,0.46449269
