state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_A,locus::PBRM1,17,52,-0.3967,-0.32715,-0.43816471,-0.32046731,-0.57415784,0.01452738,0.05084583,-0.39819005,lower_in_core
STATE_A,locus::BAP1,17,52,-0.3967,-0.32715,-0.43816471,-0.32046731,-0.57415784,0.01452738,0.05084583,-0.39819005,lower_in_core
STATE_A,locus::JAK2,17,52,0.0127,-0.0134,0.04025882,-0.08226538,0.67586595,0.06916652,0.16945797,0.29638009,higher_in_core
STATE_A,locus::CDKN2A,17,52,0.0121,-0.01755,0.01462353,-0.13165192,0.7265301,0.05039785,0.14526439,0.31900452,higher_in_core
STATE_A,locus::PTEN,17,52,0.0019,-0.00795,0.00404706,-0.0733845,0.53216206,0.4354788,0.52045027,0.12782805,higher_in_core
STATE_A,fga,17,52,0.07639483,0.17047748,0.09266265,0.20442478,-0.69977911,0.00153446,0.01084223,-0.5158371,lower_in_core
STATE_A,gain_burden,17,52,0.03204254,0.05411104,0.03844045,0.08288543,-0.4973952,0.14559077,0.24898108,-0.23755656,lower_in_core
STATE_A,loss_burden,17,52,0.03775997,0.09679913,0.0542222,0.12153935,-0.78176037,0.00177016,0.01084223,-0.50904977,lower_in_core
STATE_B,chr1p,14,55,-0.00305,0.0093,-0.07173366,-0.00839839,-0.51398131,0.16074172,0.34244975,-0.24545455,lower_in_core
STATE_B,chr1q,14,55,0.01005,0.0303,-0.06219587,0.05871952,-1.05619549,0.04093501,0.13708932,-0.35714286,lower_in_core
STATE_B,chr2p,14,55,0.03281666,0.02921081,-0.0123207,0.05773009,-0.68964557,0.47847486,0.68956671,-0.12467532,lower_in_core
STATE_B,chr2q,14,55,0.00015711,0.0257,-0.06281138,0.04663847,-1.17433424,0.01192944,0.06494917,-0.43896104,lower_in_core
STATE_B,chr3p,14,55,-0.15483261,-0.35021174,-0.11610697,-0.35454138,1.46276178,0.00031407,0.00307789,0.62857143,higher_in_core
STATE_B,chr3q,14,55,0.0353,0.0156,0.01432061,-0.03552328,0.31151915,0.34339434,0.6009401,0.16623377,higher_in_core
STATE_B,chr4p,14,55,0.02585,0.0122,0.03243888,-0.0040652,0.35941482,0.37465047,0.6330301,0.15584416,higher_in_core
STATE_B,chr4q,14,55,0.02803816,0.0113,0.02739784,-0.00149108,0.29692256,0.34339434,0.6009401,0.16623377,higher_in_core
STATE_B,chr5p,14,55,0.04796353,0.05231116,0.10836122,0.12285207,-0.10136385,0.98214371,0.98214371,-0.00519481,lower_in_core
STATE_B,chr5q,14,55,0.05033742,0.18974304,0.07077231,0.20127222,-0.95314969,0.00514716,0.03603012,-0.48831169,lower_in_core
STATE_B,chr6p,14,55,0.00513614,0.0093,-0.08162053,-0.01766726,-0.53452065,0.39920125,0.64372801,-0.14805195,lower_in_core
STATE_B,chr6q,14,55,0.01085886,-0.0016,-0.05760504,-0.05176901,-0.03976157,0.73708112,0.9402494,0.05974026,higher_in_core
STATE_B,chr7p,14,55,0.12954776,0.0319,0.14902973,0.08170344,0.55966214,0.04476386,0.13708932,0.35064935,higher_in_core
STATE_B,chr7q,14,55,0.16466687,0.0315441,0.19679919,0.07935114,0.8735473,0.01353338,0.06631356,0.43116883,higher_in_core
STATE_B,chr8p,14,55,-0.0046146,-0.0099,-0.09170088,-0.0882284,-0.01852983,0.94646639,0.97831641,0.01298701,higher_in_core
STATE_B,chr8q,14,55,0.0075,0.01395807,-0.00623935,0.01681511,-0.15210008,0.58601876,0.82042626,-0.0961039,lower_in_core
STATE_B,chr9p,14,55,0.02410615,-0.0057822,0.01121983,-0.08575366,0.63209526,0.03538961,0.13339161,0.36753247,higher_in_core
STATE_B,chr9q,14,55,0.03966317,-0.01100398,0.03466966,-0.08978962,0.81454334,0.0036188,0.02955353,0.50779221,higher_in_core
STATE_B,chr10p,14,55,0.00494966,0.01174157,-0.06300158,-0.00226843,-0.52115319,0.40760692,0.64372801,-0.14545455,lower_in_core
STATE_B,chr10q,14,55,-0.00191444,-0.00037966,-0.06196186,-0.03718185,-0.18948739,0.84036024,0.95761981,-0.03636364,lower_in_core
