core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
STATE_A,STATE_C,m_stage,,,,,,,0.12963665,0.31483186,M1,1,17,4,12,0.058823529411764705,0.3333333333333333,-0.2745098039215686,0.17171717,0.02267172,1.30059751,,,,,,
STATE_A,STATE_C,grade,,,,,,,0.46074447,0.65272133,G2,8,17,4,14,0.47058823529411764,0.2857142857142857,0.18487394957983194,2.0877193,0.49424605,8.81862761,,,,,,
STATE_A,STATE_C,grade,,,,,,,1.0,1.0,G3,9,17,7,14,0.5294117647058824,0.5,0.02941176470588236,1.11764706,0.28360244,4.40452818,,,,,,
STATE_A,STATE_C,grade,,,,,,,0.08097887,0.27532816,G4,0,17,3,14,0.0,0.21428571428571427,-0.21428571428571427,0.09387755,0.00442279,1.99263221,,,,,,
STATE_A,STATE_C,overall_survival,,,,,,,0.01995259,0.05985777,,,,,,,,,,,,17,14,0,4,1126.0,1221.5
STATE_A,STATE_D,age,17,24,56.0,57.0,0.09793104,0.09793104,0.87371373,0.99020889,,,,,,,,,,,,,,,,,
STATE_A,STATE_D,gender,,,,,,,0.26232843,0.49550926,FEMALE,2,17,7,24,0.11764705882352941,0.2916666666666667,-0.17401960784313728,0.37634409,0.07703382,1.83860631,,,,,,
STATE_A,STATE_D,gender,,,,,,,0.26232843,0.49550926,MALE,15,17,17,24,0.8823529411764706,0.7083333333333334,0.1740196078431372,2.65714286,0.54389022,12.98131102,,,,,,
STATE_A,STATE_D,stage_group,,,,,,,0.00143401,0.01218909,I,15,17,9,24,0.8823529411764706,0.375,0.5073529411764706,10.11578947,2.12357561,48.18721612,,,,,,
STATE_A,STATE_D,stage_group,,,,,,,0.38224548,0.49985947,II,1,17,4,24,0.058823529411764705,0.16666666666666666,-0.10784313725490195,0.41414141,0.05843402,2.93515838,,,,,,
STATE_A,STATE_D,stage_group,,,,,,,0.03268668,0.11113471,III,0,17,6,24,0.0,0.25,-0.25,0.08131868,0.004257,1.55337853,,,,,,
STATE_A,STATE_D,stage_group,,,,,,,0.37250611,0.49985947,IV,1,17,5,24,0.058823529411764705,0.20833333333333334,-0.14950980392156865,0.32231405,0.04721697,2.20019075,,,,,,
STATE_A,STATE_D,t_stage,,,,,,,1.0,1.0,T1,0,17,1,24,0.0,0.041666666666666664,-0.041666666666666664,0.44761905,0.01718428,11.65965919,,,,,,
STATE_A,STATE_D,t_stage,,,,,,,0.00090927,0.01218909,T1A,12,17,4,24,0.7058823529411765,0.16666666666666666,0.5392156862745099,10.35353535,2.47597497,43.29433684,,,,,,
STATE_A,STATE_D,t_stage,,,,,,,1.0,1.0,T1B,3,17,4,24,0.17647058823529413,0.16666666666666666,0.009803921568627472,1.09961686,0.23330701,5.18268718,,,,,,
STATE_A,STATE_D,t_stage,,,,,,,0.20721504,0.49550926,T2,1,17,6,24,0.058823529411764705,0.25,-0.19117647058823528,0.25874126,0.0388778,1.72198612,,,,,,
STATE_A,STATE_D,t_stage,,,,,,,0.02809855,0.11113471,T3A,1,17,9,24,0.058823529411764705,0.375,-0.3161764705882353,0.14832536,0.02317413,0.94935205,,,,,,
STATE_A,STATE_D,m_stage,,,,,,,0.37250611,0.49985947,M0,16,17,19,24,0.9411764705882353,0.7916666666666666,0.14950980392156865,3.1025641,0.45450605,21.17882496,,,,,,
STATE_A,STATE_D,m_stage,,,,,,,0.37250611,0.49985947,M1,1,17,5,24,0.058823529411764705,0.20833333333333334,-0.14950980392156865,0.32231405,0.04721697,2.20019075,,,,,,
STATE_A,STATE_D,grade,,,,,,,0.09775565,0.27697434,G2,8,17,5,24,0.47058823529411764,0.20833333333333334,0.26225490196078427,3.1722488,0.84440862,11.91740857,,,,,,
STATE_A,STATE_D,grade,,,,,,,0.53702914,0.65210681,G3,9,17,10,24,0.5294117647058824,0.4166666666666667,0.11274509803921567,1.54341737,0.45589944,5.22513735,,,,,,
STATE_A,STATE_D,grade,,,,,,,0.00546679,0.03097848,G4,0,17,9,24,0.0,0.375,-0.375,0.04661654,0.00250195,0.86856207,,,,,,
STATE_A,STATE_D,overall_survival,,,,,,,0.01601422,0.05985777,,,,,,,,,,,,17,24,0,8,1126.0,1440.0
STATE_B,STATE_C,age,14,14,58.5,58.0,-0.15579849,-0.15579849,0.74732906,1.0,,,,,,,,,,,,,,,,,
STATE_B,STATE_C,gender,,,,,,,1.0,1.0,FEMALE,6,14,5,14,0.42857142857142855,0.35714285714285715,0.0714285714285714,1.32085561,0.30526286,5.7152697,,,,,,
