threshold,core_count,core_patient_count,core_sizes
0.5,9,92,"[17, 14, 14, 12, 10, 8, 7, 5, 5]"
0.6666666666666666,10,86,"[16, 12, 12, 11, 8, 7, 5, 5, 5, 5]"
0.75,7,68,"[16, 12, 12, 11, 7, 5, 5]"
0.8,7,66,"[14, 12, 12, 11, 7, 5, 5]"
