excluded_k,valid_run_count,primary_core_count,primary_core_patient_count,mean_matched_jaccard,min_matched_jaccard,matched_core_mean_jaccard,extra_core_count,missing_core_count
2,18,9,85,0.85,0.0,0.9444444444444444,0,1
3,18,9,83,0.8714285714285716,0.0,0.9682539682539684,0,1
4,18,7,80,0.5803030303030303,0.0,0.829004329004329,0,3
5,18,9,87,0.8161904761904761,0.0,0.9068783068783068,0,1
6,18,9,86,0.8699248120300751,0.0,0.9665831244778613,0,1
7,18,8,84,0.7529605263157895,0.0,0.9412006578947368,0,2
8,18,9,94,0.783968253968254,0.0,0.8710758377425045,0,1
