canonical_core,variant_core,canonical_size,variant_size,intersection,canonical_retention,variant_purity,jaccard
CORE01,CORE04,21,12,11,0.5238095238095238,0.9166666666666666,0.5
CORE02,CORE01,14,16,14,1.0,0.875,0.875
CORE03,CORE02,12,14,9,0.75,0.6428571428571429,0.5294117647058824
CORE04,CORE03,9,13,8,0.8888888888888888,0.6153846153846154,0.5714285714285714
