partition,macro_state,component_cores,reference,matched_n,chi_square,permutation_p,cramers_v_raw,cramers_v_bias_corrected
4V-5core,STATE_A,CORE01+CORE03,mRNA,22,4.2341269841,0.3164,0.4387029946,0.2282177323
4V-5core,STATE_B,CORE02+CORE05,mRNA,18,2.7692307692,0.418,0.3922322703,0.0
4V-5core,STATE_A,CORE01+CORE03,ClearCode34,25,10.4290674603,0.0029,0.6458813346,0.6259568245
4V-5core,STATE_B,CORE02+CORE05,ClearCode34,16,1.038961039,0.5427,0.2548235957,0.0
5V-6core,STATE_D,CORE04+CORE05+CORE06,mRNA,23,8.592345679,0.2122,0.4321922298,0.2355188651
5V-6core,STATE_D,CORE04+CORE05+CORE06,ClearCode34,19,4.3562610229,0.1652,0.4788286708,0.3537184097
