partition,reference,available_n,missing_n,chi_square,permutation_p,bh_q
5V-stable-cores,mRNA,42,14,7.0687830688,0.0686,0.1372
5V-stable-cores,ClearCode34,37,19,1.8321479374,0.6112,0.6112
