partition,core_id,core_total_n,mRNA_label_n,mRNA_missing_n,mRNA_dominant,mRNA_purity,mRNA_entropy,mRNA_status,ClearCode_label_n,ClearCode_missing_n,ClearCode_dominant,ClearCode_purity,ClearCode_entropy,ClearCode_status,mRNA_best_enriched_subtype,mRNA_best_OR,mRNA_best_q,ClearCode_best_enriched_subtype,ClearCode_best_OR,ClearCode_best_q,unresolved_by_both_references
4V-5core,CORE01,18,16,2,m1,0.625,0.7118974703,significant_known_enrichment,16,2,ccA,0.9375,0.3372900666,significant_known_enrichment,m1,8.0769230769,0.023695727,ccA,37.358974359,1.59145e-05,False
4V-5core,CORE02,14,13,1,m2,0.6153846154,0.6673395705,significant_known_enrichment,11,3,ccB,0.8181818182,0.6840384356,no_fdr_supported_enrichment,m2,8.5702479339,0.023695727,ccB,4.7806451613,0.0857411323,False
4V-5core,CORE03,11,6,5,m1,0.6666666667,0.459147917,no_fdr_supported_enrichment,9,2,ccB,0.6666666667,0.9182958341,no_fdr_supported_enrichment,m1,4.9304347826,0.207676568,ccB,1.8571428571,0.5861621363,True
4V-5core,CORE04,11,8,3,m3,0.5,0.7028195311,no_fdr_supported_enrichment,4,7,ccB,0.75,0.8112781245,low_information,m3,4.4666666667,0.207676568,ccB,2.2248062016,0.6109936575,False
4V-5core,CORE05,5,5,0,m3,0.6,0.6854752972,no_fdr_supported_enrichment,5,0,ccB,1.0,-0.0,no_fdr_supported_enrichment,m3,5.8470588235,0.207676568,ccB,12.1282051282,0.0857411323,True
5V-6core,CORE01,17,13,4,m1,0.6923076923,0.5700578393,no_fdr_supported_enrichment,12,5,ccA,1.0,-0.0,significant_known_enrichment,m1,4.7695473251,0.4340699316,ccA,51.0,0.000175854,False
5V-6core,CORE02,14,9,5,m3,0.4444444444,0.8763576395,no_fdr_supported_enrichment,10,4,ccB,0.8,0.7219280949,no_fdr_supported_enrichment,m3,2.9220779221,0.6173673552,ccB,4.3714285714,0.1106324115,True
5V-6core,CORE03,14,11,3,m3,0.3636363636,0.9338169455,no_fdr_supported_enrichment,8,6,ccB,1.0,-0.0,significant_known_enrichment,m4,3.0320855615,0.6173673552,ccB,23.8,0.0120873684,False
5V-6core,CORE04,10,9,1,m1,0.4444444444,0.7652465284,no_fdr_supported_enrichment,9,1,ccA,0.7777777778,0.7642045065,no_fdr_supported_enrichment,m4,4.1608391608,0.6173673552,ccA,4.0285714286,0.1106324115,True
5V-6core,CORE05,9,9,0,m2,0.3333333333,0.945530556,no_fdr_supported_enrichment,7,2,ccB,0.7142857143,0.8631205686,no_fdr_supported_enrichment,m2,2.1821862348,0.7708636662,ccB,2.4146341463,0.5009118541,True
5V-6core,CORE06,5,5,0,m1,0.6,0.4854752972,no_fdr_supported_enrichment,3,2,ccB,0.6666666667,0.9182958341,low_information,m2,2.8231292517,0.7590623213,ccB,1.6666666667,1.0,False
