partition,macro_state,reference,component_core_n,matched_n,macro_purity,weighted_component_purity,purity_drop,heterogeneity_permutation_p,heterogeneity_cramers_v
4V-5core,STATE_A,mRNA,2,22,0.6363636364,0.6363636364,0.0,0.3164,0.2282177323
4V-5core,STATE_B,mRNA,2,18,0.5,0.6111111111,0.1111111111,0.418,0.0
4V-5core,STATE_A,ClearCode34,2,25,0.72,0.84,0.12,0.0029,0.6259568245
4V-5core,STATE_B,ClearCode34,2,16,0.875,0.875,0.0,0.5427,0.0
5V-6core,STATE_D,mRNA,3,23,0.3913043478,0.4347826087,0.0434782608,0.2122,0.2355188651
5V-6core,STATE_D,ClearCode34,3,19,0.5263157895,0.7368421053,0.2105263158,0.1652,0.3537184097
