state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_A,chr1p,17,60,0.0083,0.00310718,-0.02819873,-0.02587318,-0.01800995,0.64953381,0.68178914,-0.07352941,lower_in_core
STATE_A,chr1q,17,60,0.01180066,0.04065,0.01574636,0.04207519,-0.21474523,0.1728101,0.31270782,-0.21862745,lower_in_core
STATE_A,chr2p,17,60,0.0124,0.03965,0.01842727,0.05224262,-0.33353111,0.02540385,0.07322286,-0.35784314,lower_in_core
STATE_A,chr2q,17,60,0.0124,0.02368313,0.01885844,0.02492121,-0.05977449,0.85865957,0.87654831,-0.02941176,lower_in_core
STATE_A,chr3p,17,60,-0.37905817,-0.31106869,-0.38400558,-0.28805334,-0.53005763,0.02061188,0.06733214,-0.37058824,lower_in_core
STATE_A,chr3q,17,60,0.01113144,0.01575,-0.08221853,-0.00798852,-0.47317149,0.15249677,0.28739776,-0.22941176,lower_in_core
STATE_A,chr4p,17,60,0.0140933,0.01047742,0.01646123,-0.00351784,0.18876177,0.65396101,0.68178914,0.07254902,higher_in_core
STATE_A,chr4q,17,60,0.0113,0.01086457,0.01054366,-0.00261609,0.13374787,0.89739458,0.89739458,0.02156863,higher_in_core
STATE_A,chr5p,17,60,0.0245,0.05275985,0.13295508,0.12121918,0.07886857,0.62759824,0.68178914,-0.07843137,lower_in_core
STATE_A,chr5q,17,60,0.21743534,0.16455899,0.21964098,0.17907839,0.26280803,0.27169237,0.41602894,0.17647059,higher_in_core
STATE_A,chr6p,17,60,0.0138,-0.0016,0.01140163,-0.04385662,0.4583674,0.4354639,0.54712131,0.1254902,higher_in_core
STATE_A,chr6q,17,60,0.0107,-0.00745368,0.0096935,-0.06880657,0.55823671,0.17869018,0.31270782,0.21568627,higher_in_core
STATE_A,chr7p,17,60,0.0126,0.05401598,0.03874628,0.118137,-0.62274914,0.00185007,0.01283041,-0.49803922,lower_in_core
STATE_A,chr7q,17,60,0.0126,0.05418434,0.038646,0.12714607,-0.61620144,0.00209476,0.01283041,-0.49215686,lower_in_core
STATE_A,chr8p,17,60,0.0062,-0.0171,-0.04301397,-0.10718041,0.33930031,0.35699759,0.49979663,0.14803922,higher_in_core
STATE_A,chr8q,17,60,0.011,0.02785827,-0.01966702,0.0154566,-0.22123099,0.05307627,0.11821533,-0.30980392,lower_in_core
STATE_A,chr9p,17,60,0.0127,-0.01755,0.01446132,-0.09043766,0.70943741,0.02926088,0.07783916,0.34901961,higher_in_core
STATE_A,chr9q,17,60,0.012,-0.01545,0.01067008,-0.08965554,0.66158922,0.0396741,0.09720154,0.32941176,higher_in_core
STATE_A,chr10p,17,60,0.00450771,0.01465237,0.00576047,-0.01941488,0.2194709,0.57629977,0.65671369,-0.09019608,lower_in_core
STATE_A,chr10q,17,60,0.0022055,-0.00889323,0.00408245,-0.05178494,0.45421219,0.31686384,0.45665671,0.16078431,higher_in_core
STATE_A,chr11p,17,60,0.01208423,0.02866605,0.01611495,0.04168941,-0.44972042,0.19935162,0.32560765,-0.20588235,lower_in_core
STATE_A,chr11q,17,60,0.0103,0.02410609,0.01551034,0.02715933,-0.17108494,0.4649378,0.5695488,-0.11764706,lower_in_core
STATE_A,chr12p,17,60,0.0121,0.05088738,0.01240533,0.09337137,-0.92156874,6.076e-05,0.00297724,-0.64117647,lower_in_core
STATE_A,chr12q,17,60,0.01742856,0.05325458,0.02571218,0.09182846,-0.73434562,0.00085495,0.00796593,-0.53333333,lower_in_core
STATE_A,chr13p,17,60,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr13q,17,60,0.01289585,0.01599994,-0.01358886,0.00093554,-0.14988954,0.3865837,0.50722141,-0.13921569,lower_in_core
STATE_A,chr14p,17,60,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr14q,17,60,0.0017,-0.22801222,-0.09656577,-0.1948572,0.50291507,0.04335552,0.10116288,0.32352941,higher_in_core
STATE_A,chr15p,17,60,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr15q,17,60,0.01052502,0.02709314,0.01597509,0.02279717,-0.08350735,0.39335538,0.50722141,-0.1372549,lower_in_core
STATE_A,chr16p,17,60,0.01364299,0.0471,0.01833272,0.0845555,-0.6405797,0.00043386,0.00708638,-0.5627451,lower_in_core
