modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,7.95355,0.72,999,0,0.0,0.0,[],0.864
wsi,estimable,,6.46595,0.178,999,0,0.0,0.0,[],0.356
rna,estimable,,10.370645,0.295,999,0,0.0,0.0,[],0.4425
wxs,estimable,,6.394919,0.005,999,0,0.0,0.0,[],0.03
cnv,estimable,,11.546789,0.097,999,0,0.0,0.0,[],0.291
fused,estimable,,10621.616066,1.0,999,0,0.0,0.0,[],1.0
