state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,effect_size,feature_family,medical_imaging_domain,interpretation,significant_fdr
STATE_A,log-sigma-1-0-mm-3D_firstorder_10Percentile,17,60,-22.2585001,-17.27349167,-22.11445195,-17.55481446,-0.84543195,0.00482409,0.06280307,-0.84543195,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_90Percentile,17,60,15.04531536,13.90898647,15.0504063,12.50668956,0.64708115,0.05307627,0.12600039,0.64708115,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Energy,17,60,9923924.91858877,19341420.57988931,25882788.92323961,38144756.81547701,-0.22938085,0.15249677,0.24687873,-0.22938085,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Entropy,17,60,1.4847149,1.31591118,1.46505856,1.29824614,0.79525047,0.00583085,0.06280307,0.79525047,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,17,60,18.97925448,15.47835052,18.72675274,15.26247494,0.76463622,0.0067686,0.06280307,0.76463622,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Kurtosis,17,60,3.50093433,3.801668,3.63843778,4.06465536,-0.49103868,0.0283646,0.08757377,-0.49103868,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Maximum,17,60,62.85946274,58.04128456,61.93882572,60.07403285,0.11408264,0.60170241,0.69807364,0.11408264,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Mean,17,60,-2.64285772,-2.07365361,-2.87883412,-2.20453375,-0.51498183,0.04335552,0.1134068,-0.51498183,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,17,60,12.08193689,9.85001613,11.57368162,9.44317979,0.77924709,0.00501187,0.06280307,0.77924709,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Median,17,60,-2.21556592,-1.60962,-2.0860523,-1.68910975,-0.38087512,0.09856908,0.18289501,-0.38087512,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Minimum,17,60,-72.12586975,-79.04988098,-77.92433301,-81.09987904,0.11138573,0.69885988,0.77880835,0.11138573,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Range,17,60,138.50124741,142.10944366,139.86315873,141.17391189,-0.03268277,0.86831661,0.90183619,-0.03268277,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,17,60,7.98699204,6.4781924,7.8404336,6.36899724,0.77934116,0.00501187,0.06280307,0.77934116,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,17,60,15.49609418,13.00889697,15.21567367,12.42014148,0.78907733,0.00561551,0.06280307,0.78907733,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Skewness,17,60,-0.2826697,-0.29530632,-0.31159755,-0.31902706,0.03851419,0.99510051,0.99510051,0.03851419,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_TotalEnergy,17,60,9923924.91858877,19341420.57988931,25882788.92323961,38144756.81547701,-0.22938085,0.15249677,0.24687873,-0.22938085,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Uniformity,17,60,0.40673636,0.44896643,0.41264849,0.4497968,-0.82498783,0.0046427,0.06280307,-0.82498783,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Variance,17,60,234.75586062,164.5281513,229.89210305,161.0581906,0.79749642,0.00783975,0.06327798,0.79749642,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
