clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,77,77,0,1.0
age,STABLE_CORES,77,77,0,1.0
age,STATE_A,17,17,0,1.0
age,STATE_B,15,15,0,1.0
age,STATE_C,14,14,0,1.0
age,STATE_D,31,31,0,1.0
gender,ALL,77,77,0,1.0
gender,STABLE_CORES,77,77,0,1.0
gender,STATE_A,17,17,0,1.0
gender,STATE_B,15,15,0,1.0
gender,STATE_C,14,14,0,1.0
gender,STATE_D,31,31,0,1.0
race,ALL,77,77,0,1.0
race,STABLE_CORES,77,77,0,1.0
race,STATE_A,17,17,0,1.0
race,STATE_B,15,15,0,1.0
race,STATE_C,14,14,0,1.0
race,STATE_D,31,31,0,1.0
stage_group,ALL,77,77,0,1.0
stage_group,STABLE_CORES,77,77,0,1.0
stage_group,STATE_A,17,17,0,1.0
stage_group,STATE_B,15,15,0,1.0
stage_group,STATE_C,14,14,0,1.0
stage_group,STATE_D,31,31,0,1.0
t_stage,ALL,77,77,0,1.0
t_stage,STABLE_CORES,77,77,0,1.0
t_stage,STATE_A,17,17,0,1.0
t_stage,STATE_B,15,15,0,1.0
t_stage,STATE_C,14,14,0,1.0
t_stage,STATE_D,31,31,0,1.0
n_stage,ALL,37,77,40,0.4805194805194805
n_stage,STABLE_CORES,37,77,40,0.4805194805194805
n_stage,STATE_A,5,17,12,0.29411764705882354
n_stage,STATE_B,8,15,7,0.5333333333333333
n_stage,STATE_C,6,14,8,0.42857142857142855
n_stage,STATE_D,18,31,13,0.5806451612903226
m_stage,ALL,73,77,4,0.948051948051948
m_stage,STABLE_CORES,73,77,4,0.948051948051948
m_stage,STATE_A,17,17,0,1.0
m_stage,STATE_B,13,15,2,0.8666666666666667
m_stage,STATE_C,12,14,2,0.8571428571428571
m_stage,STATE_D,31,31,0,1.0
grade,ALL,77,77,0,1.0
grade,STABLE_CORES,77,77,0,1.0
grade,STATE_A,17,17,0,1.0
grade,STATE_B,15,15,0,1.0
grade,STATE_C,14,14,0,1.0
grade,STATE_D,31,31,0,1.0
overall_survival,ALL,77,77,0,1.0
overall_survival,STABLE_CORES,77,77,0,1.0
overall_survival,STATE_A,17,17,0,1.0
overall_survival,STATE_B,15,15,0,1.0
overall_survival,STATE_C,14,14,0,1.0
overall_survival,STATE_D,31,31,0,1.0
