core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
STATE_A,STATE_B,HALLMARK_ADIPOGENESIS,0.33344868,0.65043861,0.98014912,0.48138652,0.47602294
STATE_A,STATE_B,HALLMARK_ALLOGRAFT_REJECTION,-0.1176905,0.4060977,0.8121954,0.18520238,0.21607918
STATE_A,STATE_B,HALLMARK_ANDROGEN_RESPONSE,0.79609256,0.05411686,0.30064922,0.43819807,0.41560291
STATE_A,STATE_B,HALLMARK_ANGIOGENESIS,1.02174232,0.01565694,0.1565694,0.50365283,0.43253785
STATE_A,STATE_B,HALLMARK_APICAL_JUNCTION,0.57054059,0.42776754,0.82262988,0.29746782,0.28464166
STATE_A,STATE_B,HALLMARK_APICAL_SURFACE,0.11045591,0.70570737,0.98014912,0.09400952,0.08833008
STATE_A,STATE_B,HALLMARK_APOPTOSIS,0.29034635,0.93979662,1.0,0.43919843,0.44354756
STATE_A,STATE_B,HALLMARK_BILE_ACID_METABOLISM,0.22453025,0.8799355,1.0,0.1908734,0.1875036
STATE_A,STATE_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.05885741,0.96987685,1.0,0.32429587,0.31799426
STATE_A,STATE_B,HALLMARK_COAGULATION,0.48998299,0.59702854,0.96294926,0.36417888,0.36252134
STATE_A,STATE_B,HALLMARK_COMPLEMENT,0.35612819,0.96987685,1.0,0.29401321,0.28764373
STATE_A,STATE_B,HALLMARK_DNA_REPAIR,-0.56857866,0.24174146,0.5755749,0.2865297,0.30258107
STATE_A,STATE_B,HALLMARK_E2F_TARGETS,-0.37209558,0.59702854,0.96294926,0.09062181,0.07942645
STATE_A,STATE_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.42436381,0.22689042,0.56722605,0.40758138,0.33414134
STATE_A,STATE_B,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.72881776,0.16234695,0.50733422,0.25079637,0.22536292
STATE_A,STATE_B,HALLMARK_ESTROGEN_RESPONSE_LATE,0.09529715,0.96987685,1.0,0.24578742,0.25043004
STATE_A,STATE_B,HALLMARK_FATTY_ACID_METABOLISM,0.18937369,1.0,1.0,0.43032431,0.42874503
STATE_A,STATE_B,HALLMARK_G2M_CHECKPOINT,-0.38359,0.65043861,0.98014912,0.09444203,0.08535761
STATE_A,STATE_B,HALLMARK_GLYCOLYSIS,0.57419164,0.32618292,0.7090933,0.39251053,0.38733922
STATE_A,STATE_B,HALLMARK_HEDGEHOG_SIGNALING,0.72455341,0.10441891,0.43507879,0.16474832,0.14456459
STATE_A,STATE_B,HALLMARK_HEME_METABOLISM,0.47427506,0.4966758,0.85633759,0.33389229,0.32567098
STATE_A,STATE_B,HALLMARK_HYPOXIA,0.8700385,0.06425959,0.32129795,0.4657728,0.4314821
STATE_A,STATE_B,HALLMARK_IL2_STAT5_SIGNALING,0.46676231,0.70570737,0.98014912,0.28333644,0.27561657
STATE_A,STATE_B,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.08923097,0.70570737,0.98014912,0.25548896,0.29640899
STATE_A,STATE_B,HALLMARK_INFLAMMATORY_RESPONSE,0.17923757,0.4060977,0.8121954,0.17365214,0.21027716
STATE_A,STATE_B,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.19335677,0.82075309,1.0,0.39006181,0.4035201
STATE_A,STATE_B,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.17685546,0.93979662,1.0,0.32560449,0.34396893
STATE_A,STATE_B,HALLMARK_KRAS_SIGNALING_DN,0.61945232,0.14081925,0.50292589,-0.1453815,-0.15690227
STATE_A,STATE_B,HALLMARK_KRAS_SIGNALING_UP,0.20469135,0.8799355,1.0,0.20568019,0.19479429
STATE_A,STATE_B,HALLMARK_MITOTIC_SPINDLE,0.44746427,0.22689042,0.56722605,0.20145431,0.18610824
STATE_A,STATE_B,HALLMARK_MTORC1_SIGNALING,-0.40538372,0.17400124,0.51176835,0.42203873,0.43266142
STATE_A,STATE_B,HALLMARK_MYC_TARGETS_V1,-0.13435092,0.90980204,1.0,0.56190967,0.56063301
STATE_A,STATE_B,HALLMARK_MYC_TARGETS_V2,-0.55708158,0.15129156,0.5043052,0.19770125,0.21999179
STATE_A,STATE_B,HALLMARK_MYOGENESIS,1.27677806,0.00322439,0.08060975,0.27594814,0.22750586
STATE_A,STATE_B,HALLMARK_NOTCH_SIGNALING,1.00528567,0.01023265,0.14253588,0.34540115,0.30590296
STATE_A,STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.48422521,0.4966758,0.85633759,0.56911716,0.57138499
STATE_A,STATE_B,HALLMARK_P53_PATHWAY,0.07517918,0.73395841,0.99183569,0.36348519,0.36891794
STATE_A,STATE_B,HALLMARK_PANCREAS_BETA_CELLS,1.2747025,0.00132812,0.066406,0.33756619,0.26001195
STATE_A,STATE_B,HALLMARK_PEROXISOME,0.36117028,0.4966758,0.85633759,0.36802616,0.36170635
STATE_A,STATE_B,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.423444,0.04143124,0.28341594,0.31461187,0.32379672
STATE_A,STATE_B,HALLMARK_PROTEIN_SECRETION,-0.16279099,0.13091338,0.50292589,0.47692635,0.49551036
STATE_A,STATE_B,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0471593,0.96987685,1.0,0.498433,0.51127252
STATE_A,STATE_B,HALLMARK_SPERMATOGENESIS,-0.90075029,0.08237194,0.37441791,-0.17161171,-0.13637853
STATE_A,STATE_B,HALLMARK_TGF_BETA_SIGNALING,0.83106697,0.01140287,0.14253588,0.5024656,0.45571769
STATE_A,STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.37581378,0.85023881,1.0,0.38601685,0.41385847
STATE_A,STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.40122579,0.32618292,0.7090933,0.41224058,0.42166937
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_DN,0.76044007,0.04534655,0.28341594,0.28427837,0.23748653
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_UP,0.24335749,1.0,1.0,0.39618531,0.40043549
STATE_A,STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.7667198,0.04534655,0.28341594,0.18473689,0.14119618
STATE_A,STATE_B,HALLMARK_XENOBIOTIC_METABOLISM,0.6842815,0.21270177,0.56722605,0.34642964,0.34095109
STATE_A,STATE_C,HALLMARK_ADIPOGENESIS,0.71053856,0.12645617,0.28740039,0.48138652,0.46705213
STATE_A,STATE_C,HALLMARK_ALLOGRAFT_REJECTION,-2.23816746,1.383e-05,0.0006915,0.18520238,0.32319764
STATE_A,STATE_C,HALLMARK_ANDROGEN_RESPONSE,1.45571164,0.00091818,0.00573862,0.43819807,0.39185677
STATE_A,STATE_C,HALLMARK_ANGIOGENESIS,0.89307308,0.03051547,0.08975138,0.50365283,0.43082449
STATE_A,STATE_C,HALLMARK_APICAL_JUNCTION,0.11625875,0.85823299,0.91301382,0.29746782,0.29091619
STATE_A,STATE_C,HALLMARK_APICAL_SURFACE,0.14416506,0.56490854,0.64194152,0.09400952,0.06312349
STATE_A,STATE_C,HALLMARK_APOPTOSIS,-0.45905517,0.2111653,0.32994578,0.43919843,0.44761725
STATE_A,STATE_C,HALLMARK_BILE_ACID_METABOLISM,0.41734151,0.31144132,0.43255739,0.1908734,0.16629405
STATE_A,STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.28175189,0.39342339,0.47978462,0.32429587,0.30004398
STATE_A,STATE_C,HALLMARK_COAGULATION,-0.49000308,0.1970292,0.31778903,0.36417888,0.39116215
STATE_A,STATE_C,HALLMARK_COMPLEMENT,-1.09271493,0.00183325,0.00916625,0.29401321,0.33544758
STATE_A,STATE_C,HALLMARK_DNA_REPAIR,-1.07203842,0.00654691,0.02338182,0.2865297,0.3028777
STATE_A,STATE_C,HALLMARK_E2F_TARGETS,-0.70983348,0.18359867,0.30599778,0.09062181,0.10758975
STATE_A,STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.18008765,0.88950568,0.92656842,0.40758138,0.4015721
STATE_A,STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.7753214,0.13661043,0.29458376,0.25079637,0.22960531
STATE_A,STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.04363018,0.92095127,0.93974619,0.24578742,0.25362515
STATE_A,STATE_C,HALLMARK_FATTY_ACID_METABOLISM,0.62049852,0.14738265,0.29458376,0.43032431,0.41051503
STATE_A,STATE_C,HALLMARK_G2M_CHECKPOINT,-0.27249581,0.95252096,0.95252096,0.09444203,0.0920756
STATE_A,STATE_C,HALLMARK_GLYCOLYSIS,-0.42220302,0.17085858,0.29458376,0.39251053,0.40496861
STATE_A,STATE_C,HALLMARK_HEDGEHOG_SIGNALING,1.02392919,0.00932317,0.03107723,0.16474832,0.12002497
STATE_A,STATE_C,HALLMARK_HEME_METABOLISM,2.1422367,2.817e-05,0.00070425,0.33389229,0.30461947
STATE_A,STATE_C,HALLMARK_HYPOXIA,0.69804242,0.17085858,0.29458376,0.4657728,0.46035923
STATE_A,STATE_C,HALLMARK_IL2_STAT5_SIGNALING,-0.08328238,0.82718123,0.89911003,0.28333644,0.28227562
STATE_A,STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.9037353,0.00024093,0.0024093,0.25548896,0.36626643
STATE_A,STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,-1.2048414,0.00239257,0.01087532,0.17365214,0.25476631
STATE_A,STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.92432737,0.00012789,0.00159863,0.39006181,0.48960911
STATE_A,STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.65976209,0.0003814,0.00317833,0.32560449,0.41877408
STATE_A,STATE_C,HALLMARK_KRAS_SIGNALING_DN,0.49281195,0.24160715,0.35530463,-0.1453815,-0.15444121
STATE_A,STATE_C,HALLMARK_KRAS_SIGNALING_UP,-0.40639796,0.17085858,0.29458376,0.20568019,0.21985357
STATE_A,STATE_C,HALLMARK_MITOTIC_SPINDLE,0.5075554,0.24160715,0.35530463,0.20145431,0.17775438
STATE_A,STATE_C,HALLMARK_MTORC1_SIGNALING,-0.43862392,0.37179307,0.47665778,0.42203873,0.42698903
STATE_A,STATE_C,HALLMARK_MYC_TARGETS_V1,0.1870502,0.37179307,0.47665778,0.56190967,0.55131943
STATE_A,STATE_C,HALLMARK_MYC_TARGETS_V2,-0.49574344,0.15879247,0.29458376,0.19770125,0.21554615
STATE_A,STATE_C,HALLMARK_MYOGENESIS,0.89361838,0.11689951,0.27833217,0.27594814,0.20893486
STATE_A,STATE_C,HALLMARK_NOTCH_SIGNALING,1.20788718,0.00513498,0.02139575,0.34540115,0.28081631
STATE_A,STATE_C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.26745067,0.51249708,0.59592684,0.56911716,0.58550729
STATE_A,STATE_C,HALLMARK_P53_PATHWAY,-0.64187989,0.11689951,0.27833217,0.36348519,0.38770442
STATE_A,STATE_C,HALLMARK_PANCREAS_BETA_CELLS,2.0964819,6.628e-05,0.00110467,0.33756619,0.21849304
STATE_A,STATE_C,HALLMARK_PEROXISOME,0.50024378,0.37179307,0.47665778,0.36802616,0.35212606
STATE_A,STATE_C,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.73624028,0.07733005,0.20350013,0.31461187,0.32452803
STATE_A,STATE_C,HALLMARK_PROTEIN_SECRETION,0.65344799,0.14738265,0.29458376,0.47692635,0.45878202
STATE_A,STATE_C,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.94693959,0.01171608,0.03661275,0.498433,0.52353754
STATE_A,STATE_C,HALLMARK_SPERMATOGENESIS,0.68025356,0.03716508,0.10323633,-0.17161171,-0.18800769
STATE_A,STATE_C,HALLMARK_TGF_BETA_SIGNALING,1.35175153,0.00139645,0.00775806,0.5024656,0.44323744
STATE_A,STATE_C,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.29641445,0.39342339,0.47978462,0.38601685,0.42170436
STATE_A,STATE_C,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.32413374,0.51249708,0.59592684,0.41224058,0.41910792
STATE_A,STATE_C,HALLMARK_UV_RESPONSE_DN,1.43145344,0.00051421,0.00367293,0.28427837,0.21941103
STATE_A,STATE_C,HALLMARK_UV_RESPONSE_UP,-0.25586386,0.25793517,0.36847881,0.39618531,0.39988914
STATE_A,STATE_C,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.14524603,0.00654691,0.02338182,0.18473689,0.1000924
STATE_A,STATE_C,HALLMARK_XENOBIOTIC_METABOLISM,-0.07540954,0.70610302,0.78455891,0.34642964,0.35030463
STATE_A,STATE_D,HALLMARK_ADIPOGENESIS,0.58418032,0.08079135,0.1836167,0.48138652,0.46167798
STATE_A,STATE_D,HALLMARK_ALLOGRAFT_REJECTION,-0.9163642,0.00361211,0.031671,0.18520238,0.2509747
STATE_A,STATE_D,HALLMARK_ANDROGEN_RESPONSE,1.09582784,0.00105044,0.026261,0.43819807,0.40205369
STATE_A,STATE_D,HALLMARK_ANGIOGENESIS,0.40000584,0.26230434,0.40985053,0.50365283,0.4669107
STATE_A,STATE_D,HALLMARK_APICAL_JUNCTION,0.04890507,0.94843608,0.94843608,0.29746782,0.29746759
STATE_A,STATE_D,HALLMARK_APICAL_SURFACE,0.07507446,0.91416645,0.94843608,0.09400952,0.09686237
STATE_A,STATE_D,HALLMARK_APOPTOSIS,-0.09837723,0.79587955,0.91816955,0.43919843,0.43699368
STATE_A,STATE_D,HALLMARK_BILE_ACID_METABOLISM,0.22687287,0.86307938,0.91816955,0.1908734,0.19413886
STATE_A,STATE_D,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.44673962,0.21118889,0.36411878,0.32429587,0.33288673
STATE_A,STATE_D,HALLMARK_COAGULATION,-0.51898468,0.02946179,0.09206809,0.36417888,0.39243005
STATE_A,STATE_D,HALLMARK_COMPLEMENT,-0.33161812,0.24439354,0.40732257,0.29401321,0.30985584
STATE_A,STATE_D,HALLMARK_DNA_REPAIR,-0.97155677,0.00205171,0.031671,0.2865297,0.30027246
STATE_A,STATE_D,HALLMARK_E2F_TARGETS,-0.72164669,0.02231069,0.07968104,0.09062181,0.10727056
STATE_A,STATE_D,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.27396287,0.36525785,0.50730257,0.40758138,0.43070705
STATE_A,STATE_D,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.49528197,0.14268303,0.26422783,0.25079637,0.23264352
STATE_A,STATE_D,HALLMARK_ESTROGEN_RESPONSE_LATE,0.13920046,0.56054136,0.68358702,0.24578742,0.2457196
STATE_A,STATE_D,HALLMARK_FATTY_ACID_METABOLISM,0.50563202,0.07017435,0.16708179,0.43032431,0.39741202
STATE_A,STATE_D,HALLMARK_G2M_CHECKPOINT,-0.40579228,0.54611324,0.68264155,0.09444203,0.09512811
STATE_A,STATE_D,HALLMARK_GLYCOLYSIS,-0.62658457,0.0926771,0.20147196,0.39251053,0.39697897
STATE_A,STATE_D,HALLMARK_HEDGEHOG_SIGNALING,0.31581346,0.36525785,0.50730257,0.16474832,0.14514696
STATE_A,STATE_D,HALLMARK_HEME_METABOLISM,1.26070307,0.00010435,0.0052175,0.33389229,0.30916661
STATE_A,STATE_D,HALLMARK_HYPOXIA,-0.10375388,0.82932335,0.91816955,0.4657728,0.46563239
STATE_A,STATE_D,HALLMARK_IL2_STAT5_SIGNALING,-0.05817106,0.81255871,0.91816955,0.28333644,0.28298267
STATE_A,STATE_D,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.82472727,0.00909691,0.05685569,0.25548896,0.33394484
STATE_A,STATE_D,HALLMARK_INFLAMMATORY_RESPONSE,-0.56205398,0.04498484,0.12495789,0.17365214,0.21461809
STATE_A,STATE_D,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.54550646,0.10135328,0.21115267,0.39006181,0.40460045
STATE_A,STATE_D,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.64370205,0.05503898,0.13759745,0.32560449,0.34944724
STATE_A,STATE_D,HALLMARK_KRAS_SIGNALING_DN,0.77750238,0.00443394,0.031671,-0.1453815,-0.16630494
STATE_A,STATE_D,HALLMARK_KRAS_SIGNALING_UP,-0.23658105,0.26230434,0.40985053,0.20568019,0.21741689
