modality,core_id,silhouette,available_n
ct,STATE_A,-0.005704,17
ct,STATE_B,0.00085,15
ct,STATE_C,-0.001627,14
ct,STATE_D,-0.003055,31
wsi,STATE_A,0.035968,17
wsi,STATE_B,-0.021212,15
wsi,STATE_C,-0.0010945,14
wsi,STATE_D,-0.003302,31
rna,STATE_A,0.048329,17
rna,STATE_B,-0.000494,15
rna,STATE_C,0.0361525,14
rna,STATE_D,-0.003643,31
wxs,STATE_A,0.012813,17
wxs,STATE_B,0.140151,15
wxs,STATE_C,0.094738,14
wxs,STATE_D,-0.002544,31
cnv,STATE_A,0.047533,17
cnv,STATE_B,-0.00175,15
cnv,STATE_C,0.0043025,14
cnv,STATE_D,0.001386,31
fused,STATE_A,0.000754,17
fused,STATE_B,0.000603,15
fused,STATE_C,0.0007965,14
fused,STATE_D,0.000148,31
