state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.96815792,0.96776377,0.97038321
STATE_B,0.96815792,,0.97041349,0.96392521
STATE_C,0.96776377,0.97041349,,0.96466892
STATE_D,0.97038321,0.96392521,0.96466892,
