state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.98088972,0.97581167,0.98196386
STATE_B,0.98088972,,0.97198929,0.97844951
STATE_C,0.97581167,0.97198929,,0.97435007
STATE_D,0.98196386,0.97844951,0.97435007,
