state_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
STATE_B,mutation::LYST,1.0,1.0,0.5483871,0.02688279,11.18664999,-0.04838709677419355,LYST,0,15,3,62,0.0,0.04838709677419355,-0.04838709677419355
STATE_B,mutation::MTOR,1.0,1.0,1.75862069,0.23870893,12.9561417,0.01827956989247312,MTOR,1,15,3,62,0.06666666666666667,0.04838709677419355,0.01827956989247312
STATE_B,mutation::MUC16,1.0,1.0,0.89920424,0.13903021,5.8157738,-0.03010752688172043,MUC16,1,15,6,62,0.06666666666666667,0.0967741935483871,-0.03010752688172043
STATE_B,mutation::PBRM1,0.00645799,0.00058709,0.03663204,0.00209921,0.63924253,-0.46774193548387094,PBRM1,0,15,29,62,0.0,0.46774193548387094,-0.46774193548387094
STATE_B,mutation::PIK3CA,1.0,1.0,0.5483871,0.02688279,11.18664999,-0.04838709677419355,PIK3CA,0,15,3,62,0.0,0.04838709677419355,-0.04838709677419355
STATE_B,mutation::PTEN,1.0,0.57648784,0.3372434,0.0176697,6.43661911,-0.08064516129032258,PTEN,0,15,5,62,0.0,0.08064516129032258,-0.08064516129032258
STATE_B,mutation::SETD2,1.0,1.0,0.5483871,0.02688279,11.18664999,-0.04838709677419355,SETD2,0,15,3,62,0.0,0.04838709677419355,-0.04838709677419355
STATE_B,mutation::SPTA1,1.0,0.58079474,0.41935484,0.02140779,8.214696,-0.06451612903225806,SPTA1,0,15,4,62,0.0,0.06451612903225806,-0.06451612903225806
STATE_B,mutation::TP53,0.26315791,0.03588517,23.14814815,1.05026336,510.19276216,0.13333333333333333,TP53,2,15,0,62,0.13333333333333333,0.0,0.13333333333333333
STATE_B,mutation::TSC1,1.0,1.0,1.32258065,0.05134458,34.06824403,-0.016129032258064516,TSC1,0,15,1,62,0.0,0.016129032258064516,-0.016129032258064516
STATE_B,mutation::TSC2,1.0,1.0,4.03225806,0.07692458,211.36423389,0.0,TSC2,0,15,0,62,0.0,0.0,0.0
STATE_B,mutation::TTN,1.0,0.59060491,0.28039702,0.01495921,5.25579121,-0.0967741935483871,TTN,0,15,6,62,0.0,0.0967741935483871,-0.0967741935483871
STATE_B,mutation::VHL,5.83e-05,2.65e-06,0.01792115,0.00102327,0.31386357,-0.6451612903225806,VHL,0,15,40,62,0.0,0.6451612903225806,-0.6451612903225806
STATE_C,mutation::ARID1A,1.0,0.33253589,4.62962963,0.44667088,47.9849295,0.05555555555555555,ARID1A,1,14,1,63,0.07142857142857142,0.015873015873015872,0.05555555555555555
STATE_C,mutation::ATM,1.0,0.57792347,0.36677116,0.01916491,7.01913387,-0.07936507936507936,ATM,0,14,5,63,0.0,0.07936507936507936,-0.07936507936507936
STATE_C,mutation::BAP1,1.1e-06,5e-08,57.4,10.70978265,307.64023026,0.6825396825396826,BAP1,10,14,2,63,0.7142857142857143,0.031746031746031744,0.6825396825396826
STATE_C,mutation::CDKN2A,1.0,1.0,4.37931034,0.08337549,230.02394575,0.0,CDKN2A,0,14,0,63,0.0,0.0,0.0
STATE_C,mutation::DST,1.0,0.57792347,0.36677116,0.01916491,7.01913387,-0.07936507936507936,DST,0,14,5,63,0.0,0.07936507936507936,-0.07936507936507936
STATE_C,mutation::ELOC,1.0,1.0,4.37931034,0.08337549,230.02394575,0.0,ELOC,0,14,0,63,0.0,0.0,0.0
STATE_C,mutation::FLG,1.0,0.55983448,1.92063492,0.25949308,14.2155566,0.023809523809523808,FLG,1,14,3,63,0.07142857142857142,0.047619047619047616,0.023809523809523808
STATE_C,mutation::KDM5C,1.0,1.0,1.4691358,0.21110521,10.22409647,0.007936507936507936,KDM5C,1,14,4,63,0.07142857142857142,0.06349206349206349,0.007936507936507936
STATE_C,mutation::KMT2C,1.0,1.0,1.43678161,0.0556401,37.10168288,-0.015873015873015872,KMT2C,0,14,1,63,0.0,0.015873015873015872,-0.015873015873015872
STATE_C,mutation::LYST,1.0,0.45712919,2.73333333,0.3319629,22.5058619,0.03968253968253968,LYST,1,14,2,63,0.07142857142857142,0.031746031746031744,0.03968253968253968
STATE_C,mutation::MTOR,1.0,1.0,0.4559387,0.02321294,8.95535559,-0.06349206349206349,MTOR,0,14,4,63,0.0,0.06349206349206349,-0.06349206349206349
STATE_C,mutation::MUC16,1.0,0.33846605,0.25977011,0.0140057,4.81807599,-0.1111111111111111,MUC16,0,14,7,63,0.0,0.1111111111111111,-0.1111111111111111
STATE_C,mutation::PBRM1,0.00712646,0.00064786,0.04032729,0.00230542,0.70542176,-0.4603174603174603,PBRM1,0,14,29,63,0.0,0.4603174603174603,-0.4603174603174603
STATE_C,mutation::PIK3CA,1.0,1.0,0.59605911,0.02914225,12.19145828,-0.047619047619047616,PIK3CA,0,14,3,63,0.0,0.047619047619047616,-0.047619047619047616
STATE_C,mutation::PTEN,1.0,0.57792347,0.36677116,0.01916491,7.01913387,-0.07936507936507936,PTEN,0,14,5,63,0.0,0.07936507936507936,-0.07936507936507936
STATE_C,mutation::SETD2,1.0,1.0,0.59605911,0.02914225,12.19145828,-0.047619047619047616,SETD2,0,14,3,63,0.0,0.047619047619047616,-0.047619047619047616
STATE_C,mutation::SPTA1,0.09726888,0.01768525,12.68115942,1.69319426,94.97540143,0.1984126984126984,SPTA1,3,14,1,63,0.21428571428571427,0.015873015873015872,0.1984126984126984
STATE_C,mutation::TP53,1.0,1.0,0.84827586,0.03860356,18.64003957,-0.031746031746031744,TP53,0,14,2,63,0.0,0.031746031746031744,-0.031746031746031744
STATE_C,mutation::TSC1,1.0,1.0,1.43678161,0.0556401,37.10168288,-0.015873015873015872,TSC1,0,14,1,63,0.0,0.015873015873015872,-0.015873015873015872
STATE_C,mutation::TSC2,1.0,1.0,4.37931034,0.08337549,230.02394575,0.0,TSC2,0,14,0,63,0.0,0.0,0.0
STATE_C,mutation::TTN,0.06446088,0.00879012,10.54285714,1.96710294,56.50534841,0.25396825396825395,TTN,4,14,2,63,0.2857142857142857,0.031746031746031744,0.25396825396825395
STATE_C,mutation::VHL,1.0,0.24032501,0.46478873,0.1456886,1.4828104,-0.19841269841269843,VHL,5,14,35,63,0.35714285714285715,0.5555555555555556,-0.19841269841269843
STATE_D,mutation::ARID1A,1.0,1.0,1.49180328,0.14819313,15.01741055,0.010518934081346423,ARID1A,1,31,1,46,0.03225806451612903,0.021739130434782608,0.010518934081346423
