state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.97787032,0.96558441,0.97634243
STATE_B,0.97787032,,0.97303191,0.97591986
STATE_C,0.96558441,0.97303191,,0.96993529
STATE_D,0.97634243,0.97591986,0.96993529,
