modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,47.934157,0.0503,9999,0,0.0,0.0,[],0.2515
wsi,estimable,,2.133143,0.8733,9999,0,0.0,0.0,[],0.9977
rna,estimable,,10.825109,0.7391,9999,1,0.012703,0.000473,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.9977
genomic,estimable,,6569.669621,0.9977,9999,0,0.0,0.0,[],0.9977
fused,estimable,,14199.888484,0.9902,9999,0,0.0,0.0,[],0.9977
