modality,omnibus_feature_count,omnibus_fdr_significant_count,posthoc_row_count
rna_hallmark,50,36,108
ct_radiomics,308,0,0
cnv_continuous,54,2,6
WXS,22,1,3
CNV event secondary,102,0,0
clinical,6,5,15
WSI affinity,,,3
