feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared,clinical_variable,levels,chi_square,permutations
age,3,59,29;19;11,8.79332397,0.01231839,0.0007199999999999999,0.12130936,,,,
,3,59,,,0.2271,0.0007199999999999999,,gender,female;male,3.1082344,9999
,3,59,,,0.0017,0.0007199999999999999,,stage_group,I;II;III;IV,21.2580194,9999
,3,59,,,0.0211,0.0007199999999999999,,t_stage,T1a;T1b;T2;T2b;T3a;T3b;T4,22.28316475,9999
,3,57,,,0.0006,0.0007199999999999999,,m_stage,M0;M1,15.74753695,9999
,3,59,,,0.0134,0.0134,,grade,G2;G3;G4,12.20725708,9999
