modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,STATE_A,STATE_B,29,19,estimable,,48,2,0.023517,1.107846,0.0441,9999,0.0003
ct,STATE_A,STATE_C,29,11,estimable,,40,2,0.030147,1.181188,0.0054,9999,0.0003
ct,STATE_B,STATE_C,19,11,estimable,,30,2,0.043067,1.260157,0.0003,9999,0.0003
wsi,STATE_A,STATE_B,29,19,estimable,,48,2,0.03759,1.796684,0.001,9999,0.003
wsi,STATE_A,STATE_C,29,11,estimable,,40,2,0.043482,1.727417,0.0026,9999,0.0034
wsi,STATE_B,STATE_C,19,11,estimable,,30,2,0.050797,1.498439,0.0034,9999,0.0034
rna,STATE_A,STATE_B,29,19,estimable,,48,2,0.060505,2.962483,0.0001,9999,0.0001
rna,STATE_A,STATE_C,29,11,estimable,,40,2,0.061842,2.50491,0.0001,9999,0.0001
rna,STATE_B,STATE_C,19,11,estimable,,30,2,0.069703,2.097929,0.0001,9999,0.0001
genomic,STATE_A,STATE_B,29,19,estimable,,48,2,0.021453,1.008453,0.0132,9999,0.0015
genomic,STATE_A,STATE_C,29,11,estimable,,40,2,0.026013,1.014901,0.001,9999,0.0015
genomic,STATE_B,STATE_C,19,11,estimable,,30,2,0.034679,1.005905,0.0442,9999,0.0442
fused,STATE_A,STATE_B,29,19,estimable,,48,2,0.021967,1.033164,0.0001,9999,0.0001
fused,STATE_A,STATE_C,29,11,estimable,,40,2,0.026347,1.028284,0.0001,9999,0.0001
fused,STATE_B,STATE_C,19,11,estimable,,30,2,0.03524,1.022768,0.0001,9999,0.0001
