feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
original_shape_Elongation,STATE_A,STATE_B,29,19,0.40835006,-0.09287861,0.12470027,-0.33775032,0.25952813,-0.06352087,0.57540835,0.13443512,0.40330536
original_shape_Elongation,STATE_A,STATE_C,29,11,0.40835006,0.60904759,0.12470027,0.45903777,-0.12225705,-0.49858934,0.29153605,0.56494277,1.0
original_shape_Elongation,STATE_B,STATE_C,19,11,-0.09287861,0.60904759,-0.33775032,0.45903777,-0.42583732,-0.74186603,-0.02392344,0.05827751,1.0
original_shape_Flatness,STATE_A,STATE_B,29,19,0.24039358,-0.23690183,0.11080164,-0.31489945,0.22323049,-0.09981851,0.54264973,0.19843722,0.59531166
original_shape_Flatness,STATE_A,STATE_C,29,11,0.24039358,0.75104182,0.11080164,0.45685732,-0.1661442,-0.50485893,0.19749216,0.43096149,0.86192298
original_shape_Flatness,STATE_B,STATE_C,19,11,-0.23690183,0.75104182,-0.31489945,0.45685732,-0.42583732,-0.79904306,-0.03349282,0.05827751,0.86192298
original_shape_LeastAxisLength,STATE_A,STATE_B,29,19,-0.6005626,-0.42123141,-0.60846176,0.24057846,-0.3030853,-0.61887477,0.04537205,0.08014834,0.24044502
original_shape_LeastAxisLength,STATE_A,STATE_C,29,11,-0.6005626,-0.12315039,-0.60846176,0.05692972,-0.51724138,-0.79937304,-0.18479624,0.01299876,0.24044502
original_shape_LeastAxisLength,STATE_B,STATE_C,19,11,-0.42123141,-0.12315039,0.24057846,0.05692972,-0.07177033,-0.50239234,0.35885167,0.76321984,0.76321984
original_shape_MajorAxisLength,STATE_A,STATE_B,29,19,-0.64999358,0.41418814,-0.3084309,0.48809216,-0.39745917,-0.71333938,-0.07441016,0.02156382,0.06469146
original_shape_MajorAxisLength,STATE_A,STATE_C,29,11,-0.64999358,-0.1256387,-0.3084309,-0.28135781,-0.21630094,-0.64278997,0.19749216,0.30307119,0.60614238
original_shape_MajorAxisLength,STATE_B,STATE_C,19,11,0.41418814,-0.1256387,0.48809216,-0.28135781,0.33014354,-0.10047847,0.68444976,0.14340173,0.60614238
original_shape_Maximum2DDiameterColumn,STATE_A,STATE_B,29,19,-0.43258066,0.51907303,-0.49415258,0.61846963,-0.47005445,-0.74591652,-0.14319419,0.00653591,0.01960773
original_shape_Maximum2DDiameterColumn,STATE_A,STATE_C,29,11,-0.43258066,-0.1687346,-0.49415258,-0.26074012,-0.22884013,-0.56739812,0.12852665,0.27551486,0.55102972
original_shape_Maximum2DDiameterColumn,STATE_B,STATE_C,19,11,0.51907303,-0.1687346,0.61846963,-0.26074012,0.38755981,-0.00478469,0.74162679,0.08516761,0.55102972
original_shape_Maximum2DDiameterRow,STATE_A,STATE_B,29,19,-0.7967796,0.78643549,-0.63423258,0.56108235,-0.45916515,-0.73502722,-0.13611615,0.00789887,0.02369661
original_shape_Maximum2DDiameterRow,STATE_A,STATE_C,29,11,-0.7967796,-0.11469394,-0.63423258,-0.02944394,-0.52351097,-0.79310345,-0.19749216,0.01193388,0.02386776
