feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr1p::loss,3,59,0,7,59,estimable,0.21661641,1.0,1.0,9999
chr1p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr1q::loss,3,59,0,3,59,estimable,3.26970443,0.2323,1.0,9999
chr1q::gain,3,59,0,1,59,estimable,2.1415608,0.5119,1.0,9999
chr2p::loss,3,59,0,2,59,estimable,2.1415608,0.491,1.0,9999
chr2p::gain,3,59,0,2,59,estimable,4.35826408,0.1341,1.0,9999
chr2q::loss,3,59,0,2,59,estimable,2.1415608,0.4913,1.0,9999
chr2q::gain,3,59,0,1,59,estimable,1.05231867,1.0,1.0,9999
chr3p::loss,3,59,0,44,59,estimable,0.74228975,0.6787,1.0,9999
chr3p::gain,3,59,0,2,59,estimable,2.1415608,0.4889,1.0,9999
chr3q::loss,3,59,0,6,59,estimable,0.01763206,0.8477,1.0,9999
chr3q::gain,3,59,0,4,59,estimable,1.22263653,0.54,1.0,9999
chr4p::loss,3,59,0,2,59,estimable,2.31285151,0.2495,1.0,9999
chr4p::gain,3,59,0,2,59,estimable,2.1415608,0.4885,1.0,9999
chr4q::loss,3,59,0,1,59,estimable,2.1415608,0.5031,1.0,9999
chr4q::gain,3,59,0,2,59,estimable,2.1415608,0.4887,1.0,9999
chr5p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr5p::gain,3,59,0,15,59,estimable,8.91862729,0.0094,0.2958,9999
chr5q::loss,3,59,0,1,59,estimable,2.1415608,0.5102,1.0,9999
chr5q::gain,3,59,0,24,59,estimable,1.43048845,0.493,1.0,9999
chr6p::loss,3,59,0,7,59,estimable,2.29934313,0.3279,1.0,9999
chr6p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr6q::loss,3,59,0,9,59,estimable,1.77399109,0.3967,1.0,9999
chr6q::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7p::gain,3,59,0,11,59,estimable,3.20754776,0.2063,1.0,9999
chr7q::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7q::gain,3,59,0,11,59,estimable,3.20754776,0.2096,1.0,9999
chr8p::loss,3,59,0,13,59,estimable,1.4904,0.501,1.0,9999
chr8p::gain,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
chr8q::loss,3,59,0,3,59,estimable,1.5809076,0.5754,1.0,9999
chr8q::gain,3,59,0,4,59,estimable,1.02423242,0.8151,1.0,9999
chr9p::loss,3,59,0,9,59,estimable,3.29021614,0.2181,1.0,9999
chr9p::gain,3,59,0,2,59,estimable,2.1415608,0.4865,1.0,9999
chr9q::loss,3,59,0,12,59,estimable,7.93575306,0.0174,0.2958,9999
chr9q::gain,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
chr10p::loss,3,59,0,4,59,estimable,1.22263653,0.5409,1.0,9999
chr10p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr10q::loss,3,59,0,5,59,estimable,0.20160956,1.0,1.0,9999
chr10q::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr11p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr11p::gain,3,59,0,2,59,estimable,2.1415608,0.4883,1.0,9999
chr11q::loss,3,59,0,1,59,estimable,2.1415608,0.4995,1.0,9999
chr11q::gain,3,59,0,2,59,estimable,2.1415608,0.4958,1.0,9999
chr12p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr12p::gain,3,59,0,10,59,estimable,1.87197842,0.4647,1.0,9999
chr12q::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr12q::gain,3,59,0,10,59,estimable,0.71160211,0.824,1.0,9999
chr13p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr13p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr13q::loss,3,59,0,5,59,estimable,2.42234321,0.2824,1.0,9999
chr13q::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14q::loss,3,59,0,22,59,estimable,4.3711375,0.1116,1.0,9999
chr14q::gain,3,59,0,2,59,estimable,2.1415608,0.4871,1.0,9999
chr15p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr15p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr15q::loss,3,59,0,1,59,estimable,2.1415608,0.5089,1.0,9999
chr15q::gain,3,59,0,2,59,estimable,2.1415608,0.4958,1.0,9999
chr16p::loss,3,59,0,1,59,estimable,2.1415608,0.4997,1.0,9999
chr16p::gain,3,59,0,9,59,estimable,2.64696915,0.315,1.0,9999
chr16q::loss,3,59,0,1,59,estimable,2.1415608,0.5053,1.0,9999
chr16q::gain,3,59,0,8,59,estimable,2.1415608,0.4719,1.0,9999
chr17p::loss,3,59,0,3,59,estimable,0.78778844,0.8153,1.0,9999
chr17p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr17q::loss,3,59,0,2,59,estimable,2.1415608,0.4917,1.0,9999
chr17q::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr18p::loss,3,59,0,6,59,estimable,1.01096608,0.7406,1.0,9999
chr18p::gain,3,59,0,1,59,estimable,1.05231867,1.0,1.0,9999
chr18q::loss,3,59,0,6,59,estimable,1.01096608,0.732,1.0,9999
chr18q::gain,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
chr19p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr19p::gain,3,59,0,1,59,estimable,1.05231867,1.0,1.0,9999
chr19q::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr19q::gain,3,59,0,3,59,estimable,0.78778844,0.813,1.0,9999
chr20p::loss,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
chr20p::gain,3,59,0,8,59,estimable,8.08754137,0.0163,0.2958,9999
chr20q::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr20q::gain,3,59,0,10,59,estimable,12.86859513,0.0017,0.1734,9999
chr21p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr21p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr21q::loss,3,59,0,5,59,estimable,2.32874908,0.4259,1.0,9999
chr21q::gain,3,59,0,4,59,estimable,3.74967827,0.1816,1.0,9999
chr22p::loss,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr22p::gain,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr22q::loss,3,59,0,3,59,estimable,3.08509911,0.2874,1.0,9999
chr22q::gain,3,59,0,2,59,estimable,2.1415608,0.4974,1.0,9999
locus::VHL::loss,3,59,0,45,59,estimable,1.39766972,0.5647,1.0,9999
locus::VHL::gain,3,59,0,3,59,estimable,0.78778844,0.8138,1.0,9999
locus::SETD2::loss,3,59,0,47,59,estimable,0.50411596,0.838,1.0,9999
locus::SETD2::gain,3,59,0,2,59,estimable,2.1415608,0.4859,1.0,9999
locus::PBRM1::loss,3,59,0,46,59,estimable,0.76624772,0.7059,1.0,9999
locus::PBRM1::gain,3,59,0,2,59,estimable,2.1415608,0.492,1.0,9999
