modality,group_a,group_b,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,STATE_A,STATE_B,estimable,,4.516451,0.7968,9999,0,0.0,0.0,[],0.0249
ct,STATE_A,STATE_C,estimable,,96.467458,0.0166,9999,0,0.0,0.0,[],0.0249
ct,STATE_B,STATE_C,estimable,,49.158348,0.0717,9999,0,0.0,0.0,[],0.0717
wsi,STATE_A,STATE_B,estimable,,0.008439,0.9587,9999,0,0.0,0.0,[],0.465
wsi,STATE_A,STATE_C,estimable,,3.439237,0.7213,9999,0,0.0,0.0,[],0.465
wsi,STATE_B,STATE_C,estimable,,3.881459,0.465,9999,0,0.0,0.0,[],0.465
rna,STATE_A,STATE_B,estimable,,3.688171,0.4435,9999,1,0.012649,0.000584,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.2898
rna,STATE_A,STATE_C,estimable,,21.44185,0.202,9999,1,0.012498,0.000702,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.2898
rna,STATE_B,STATE_C,estimable,,7.415701,0.2898,9999,0,0.0,0.0,[],0.2898
genomic,STATE_A,STATE_B,estimable,,3910.92202,0.943,9999,0,0.0,0.0,[],0.9388
genomic,STATE_A,STATE_C,estimable,,9429.024908,0.9991,9999,0,0.0,0.0,[],0.9388
genomic,STATE_B,STATE_C,estimable,,4037.930393,0.9388,9999,0,0.0,0.0,[],0.9388
fused,STATE_A,STATE_B,estimable,,3902.751964,0.9791,9999,0,0.0,0.0,[],0.8396
fused,STATE_A,STATE_C,estimable,,24230.124763,0.9037,9999,0,0.0,0.0,[],0.8396
fused,STATE_B,STATE_C,estimable,,15967.619633,0.8396,9999,0,0.0,0.0,[],0.8396
