feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr1p,STATE_A,STATE_B,29,19,0.0083,0.0001,-0.05190411,-0.0407937,0.03085299,-0.33212341,0.39754991,0.86606211,1.0
chr1p,STATE_A,STATE_C,29,11,0.0083,0.01240818,-0.05190411,0.00717589,-0.21630094,-0.64890282,0.22272727,0.30304851,1.0
chr1p,STATE_B,STATE_C,19,11,0.0001,0.01240818,-0.0407937,0.00717589,-0.215311,-0.6076555,0.21555024,0.34373952,1.0
chr1q,STATE_A,STATE_B,29,19,0.0118,0.00397365,-0.02572141,0.0282017,-0.02722323,-0.40834846,0.36842105,0.88267448,1.0
chr1q,STATE_A,STATE_C,29,11,0.0118,0.081,-0.02572141,0.0900182,-0.78056426,-1.0,-0.43557994,0.00017253,1.0
chr1q,STATE_B,STATE_C,19,11,0.00397365,0.081,0.0282017,0.0900182,-0.53110048,-0.83732057,-0.15789474,0.01793265,1.0
chr2p,STATE_A,STATE_B,29,19,0.0124,0.0257,-0.00216113,0.04742123,-0.17604356,-0.52096189,0.16878403,0.31156311,0.93468933
chr2p,STATE_A,STATE_C,29,11,0.0124,0.0571,-0.00216113,0.06323735,-0.63009404,-0.90595611,-0.27899687,0.00245342,0.93468933
chr2p,STATE_B,STATE_C,19,11,0.0257,0.0571,0.04742123,0.06323735,-0.30143541,-0.67464115,0.09090909,0.18216108,0.93468933
chr2q,STATE_A,STATE_B,29,19,0.01215462,0.01188578,0.00379355,0.0213424,-0.03266788,-0.42649728,0.34305808,0.85777377,1.0
chr2q,STATE_A,STATE_C,29,11,0.01215462,0.04369408,0.00379355,0.04421695,-0.31034483,-0.74310345,0.15360502,0.13773106,1.0
chr2q,STATE_B,STATE_C,19,11,0.01188578,0.04369408,0.0213424,0.04421695,-0.14832536,-0.54090909,0.25358852,0.51857275,1.0
chr3p,STATE_A,STATE_B,29,19,-0.36094315,-0.24832336,-0.31195479,-0.23803581,-0.29945554,-0.60807623,0.01633394,0.08385496,0.25156488
chr3p,STATE_A,STATE_C,29,11,-0.36094315,-0.30223612,-0.31195479,-0.28247608,-0.20376176,-0.5799373,0.1661442,0.33240096,0.66480192
chr3p,STATE_B,STATE_C,19,11,-0.24832336,-0.30223612,-0.23803581,-0.28247608,0.14832536,-0.29186603,0.55980861,0.51857275,0.66480192
chr3q,STATE_A,STATE_B,29,19,0.01728328,0.0123,-0.00365305,0.0032537,-0.01633394,-0.3938294,0.36125227,0.93279488,1.0
chr3q,STATE_A,STATE_C,29,11,0.01728328,0.04344037,-0.00365305,-0.0118395,-0.18495298,-0.64278997,0.30407524,0.37971678,1.0
chr3q,STATE_B,STATE_C,19,11,0.0123,0.04344037,0.0032537,-0.0118395,-0.07177033,-0.5215311,0.33038278,0.76321984,1.0
chr4p,STATE_A,STATE_B,29,19,0.0140933,-0.01157361,0.0316026,-0.02748478,0.41560799,0.08157895,0.73865699,0.0162445,0.0487335
chr4p,STATE_A,STATE_C,29,11,0.0140933,0.02,0.0316026,-0.00256557,0.02194357,-0.44216301,0.48589342,0.92759521,1.0
chr4p,STATE_B,STATE_C,19,11,-0.01157361,0.02,-0.02748478,-0.00256557,-0.29186603,-0.6937799,0.15789474,0.19667106,1.0
chr4q,STATE_A,STATE_B,29,19,0.01789406,-0.00789977,0.03233844,-0.03548535,0.40108893,0.04900181,0.7277677,0.02039251,0.06117753
chr4q,STATE_A,STATE_C,29,11,0.01789406,0.0184,0.03233844,0.03539923,-0.05329154,-0.52351097,0.39200627,0.80853045,1.0
chr4q,STATE_B,STATE_C,19,11,-0.00789977,0.0184,-0.03548535,0.03539923,-0.45454545,-0.79904306,-0.06220096,0.04310264,1.0
chr5p,STATE_A,STATE_B,29,19,0.02026581,0.16359192,0.08365743,0.205937,-0.40108893,-0.70961887,-0.09255898,0.02039251,0.06117753
chr5p,STATE_A,STATE_C,29,11,0.02026581,0.04900197,0.08365743,0.06598629,-0.13479624,-0.52351097,0.26645768,0.52471387,1.0
chr5p,STATE_B,STATE_C,19,11,0.16359192,0.04900197,0.205937,0.06598629,0.41626794,-0.00478469,0.74186603,0.0642317,1.0
chr5q,STATE_A,STATE_B,29,19,0.1999353,0.137377,0.17471337,0.18648565,-0.04174229,-0.37568058,0.32858439,0.81661207,1.0
chr5q,STATE_A,STATE_C,29,11,0.1999353,0.12516695,0.17471337,0.15438698,0.07836991,-0.27899687,0.44200627,0.7162438,1.0
chr5q,STATE_B,STATE_C,19,11,0.137377,0.12516695,0.18648565,0.15438698,0.07177033,-0.36842105,0.48325359,0.76321984,1.0
chr6p,STATE_A,STATE_B,29,19,0.00918931,-0.02410587,-0.00945735,-0.07923128,0.38294011,0.02359347,0.70235935,0.02685387,0.08056161
chr6p,STATE_A,STATE_C,29,11,0.00918931,0.0165,-0.00945735,-0.03590748,-0.04075235,-0.51097179,0.44827586,0.85578543,1.0
chr6p,STATE_B,STATE_C,19,11,-0.02410587,0.0165,-0.07923128,-0.03590748,-0.33971292,-0.74162679,0.07177033,0.13199623,1.0
chr6q,STATE_A,STATE_B,29,19,0.0091,-0.0209,-0.02194255,-0.06571845,0.27041742,-0.11796733,0.63711434,0.11873959,0.35621877
chr6q,STATE_A,STATE_C,29,11,0.0091,-0.0556,-0.02194255,-0.11862124,0.50470219,0.08448276,0.84952978,0.01538349,0.35621877
chr6q,STATE_B,STATE_C,19,11,-0.0209,-0.0556,-0.06571845,-0.11862124,0.19617225,-0.234689,0.62679426,0.38938711,0.38938711
chr7p,STATE_A,STATE_B,29,19,0.012,0.11067895,0.05319258,0.14593252,-0.40471869,-0.72050817,-0.0707804,0.01927709,0.05783127
chr7p,STATE_A,STATE_C,29,11,0.012,0.0904,0.05319258,0.09217257,-0.50470219,-0.81191223,-0.15971787,0.01538349,0.05783127
chr7p,STATE_B,STATE_C,19,11,0.11067895,0.0904,0.14593252,0.09217257,0.11004785,-0.28229665,0.5215311,0.635927,0.635927
chr7q,STATE_A,STATE_B,29,19,0.012,0.05836683,0.0526476,0.14687531,-0.26315789,-0.60435572,0.08892922,0.12903422,0.38710266
chr7q,STATE_A,STATE_C,29,11,0.012,0.0478,0.0526476,0.08202034,-0.42319749,-0.7492163,-0.03448276,0.04241257,0.38710266
chr7q,STATE_B,STATE_C,19,11,0.05836683,0.0478,0.14687531,0.08202034,0.0430622,-0.37822967,0.45454545,0.86332285,0.86332285
chr8p,STATE_A,STATE_B,29,19,0.00973083,-0.0216732,-0.03920491,-0.11714928,0.19963702,-0.17241379,0.55,0.25055048,0.75165144
chr8p,STATE_A,STATE_C,29,11,0.00973083,-0.0092,-0.03920491,-0.05895202,0.13479624,-0.31661442,0.5862069,0.52471387,1.0
chr8p,STATE_B,STATE_C,19,11,-0.0216732,-0.0092,-0.11714928,-0.05895202,-0.09090909,-0.50239234,0.33971292,0.69851323,1.0
chr8q,STATE_A,STATE_B,29,19,0.011,0.04672001,-0.00824704,0.0638029,-0.29219601,-0.6407441,0.08892922,0.09168427,0.27505281
chr8q,STATE_A,STATE_C,29,11,0.011,0.02875602,-0.00824704,0.04422953,-0.29780564,-0.73683386,0.1976489,0.15454973,0.30909946
chr8q,STATE_B,STATE_C,19,11,0.04672001,0.02875602,0.0638029,0.04422953,0.05263158,-0.36842105,0.48349282,0.82962515,0.82962515
chr9p,STATE_A,STATE_B,29,19,0.012,-0.06506501,0.00258415,-0.08790837,0.51724138,0.1977314,0.81488203,0.00275636,0.00826908
chr9p,STATE_A,STATE_C,29,11,0.012,-0.1217,0.00258415,-0.15078288,0.42946708,-0.01583072,0.82460815,0.03942347,0.07884694
chr9p,STATE_B,STATE_C,19,11,-0.06506501,-0.1217,-0.08790837,-0.15078288,0.11004785,-0.34976077,0.56937799,0.635927,0.635927
chr9q,STATE_A,STATE_B,29,19,0.0118,-0.02665055,-0.0132755,-0.07066735,0.35753176,-0.00190563,0.66243194,0.03882285,0.11646855
chr9q,STATE_A,STATE_C,29,11,0.0118,-0.1217,-0.0132755,-0.18523588,0.57366771,0.19749216,0.90595611,0.00584386,0.11646855
chr9q,STATE_B,STATE_C,19,11,-0.02665055,-0.1217,-0.07066735,-0.18523588,0.33971292,-0.11961722,0.72248804,0.13199623,0.13199623
chr10p,STATE_A,STATE_B,29,19,0.00450771,-0.0086,-0.01595449,-0.04847358,0.17241379,-0.17976407,0.52822142,0.32175133,0.96525399
chr10p,STATE_A,STATE_C,29,11,0.00450771,0.02924962,-0.01595449,0.03231485,-0.37304075,-0.7869906,0.09090909,0.073917,0.96525399
chr10p,STATE_B,STATE_C,19,11,-0.0086,0.02924962,-0.04847358,0.03231485,-0.36842105,-0.73205742,0.04330144,0.10196819,0.96525399
chr10q,STATE_A,STATE_B,29,19,0.0019,-0.03499243,-0.01749652,-0.09006817,0.49546279,0.15054446,0.78956443,0.00414141,0.01242423
chr10q,STATE_A,STATE_C,29,11,0.0019,0.00988389,-0.01749652,-0.01938335,-0.05329154,-0.52978056,0.41708464,0.80853045,1.0
chr10q,STATE_B,STATE_C,19,11,-0.03499243,0.00988389,-0.09006817,-0.01938335,-0.39712919,-0.76076555,0.01435407,0.07764864,1.0
chr11p,STATE_A,STATE_B,29,19,0.0127,0.00928657,0.03103364,0.03625673,-0.02722323,-0.37586207,0.33575318,0.88267764,1.0
chr11p,STATE_A,STATE_C,29,11,0.0127,0.03365527,0.03103364,0.04504768,-0.32915361,-0.71786834,0.09717868,0.11523456,1.0
chr11p,STATE_B,STATE_C,19,11,0.00928657,0.03365527,0.03625673,0.04504768,-0.18660287,-0.57894737,0.22488038,0.41353256,1.0
