feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr1p::loss,STATE_A,STATE_B,29,19,0.13793103448275862,0.10526315789473684,0.03266787658802178,1.23529412,0.23453133,6.50638695,1.0,1.0
chr1p::loss,STATE_A,STATE_C,29,11,0.13793103448275862,0.09090909090909091,0.04702194357366771,1.23529412,0.17008878,8.97150058,1.0,1.0
chr1p::loss,STATE_B,STATE_C,19,11,0.10526315789473684,0.09090909090909091,0.014354066985645925,1.0,0.1148595,8.70628862,1.0,1.0
chr1p::gain,STATE_A,STATE_B,29,19,0.0,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
chr1p::gain,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
chr1p::gain,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
chr1q::loss,STATE_A,STATE_B,29,19,0.10344827586206896,0.0,0.10344827586206896,5.1509434,0.25127366,105.59092534,0.26728723,0.80186169
chr1q::loss,STATE_A,STATE_C,29,11,0.10344827586206896,0.0,0.10344827586206896,3.03773585,0.14487522,63.69508446,0.54797571,1.0
chr1q::loss,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
chr1q::gain,STATE_A,STATE_B,29,19,0.0,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,0.39583333,1.0
chr1q::gain,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
chr1q::gain,STATE_B,STATE_C,19,11,0.05263157894736842,0.0,0.05263157894736842,1.86486486,0.06987748,49.7688401,1.0,1.0
chr2p::loss,STATE_A,STATE_B,29,19,0.06896551724137931,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
chr2p::loss,STATE_A,STATE_C,29,11,0.06896551724137931,0.0,0.06896551724137931,2.09090909,0.09293513,47.04250164,1.0,1.0
chr2p::loss,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
chr2p::gain,STATE_A,STATE_B,29,19,0.0,0.10526315789473684,-0.10526315789473684,0.11864407,0.00537981,2.61652495,0.15159574,0.45478722
chr2p::gain,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
chr2p::gain,STATE_B,STATE_C,19,11,0.10526315789473684,0.0,0.10526315789473684,3.28571429,0.14418449,74.87572704,0.51954023,1.0
chr2q::loss,STATE_A,STATE_B,29,19,0.06896551724137931,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
chr2q::loss,STATE_A,STATE_C,29,11,0.06896551724137931,0.0,0.06896551724137931,2.09090909,0.09293513,47.04250164,1.0,1.0
chr2q::loss,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
chr2q::gain,STATE_A,STATE_B,29,19,0.034482758620689655,0.0,0.034482758620689655,2.05263158,0.0794233,53.04862184,1.0,1.0
chr2q::gain,STATE_A,STATE_C,29,11,0.034482758620689655,0.0,0.034482758620689655,1.21052632,0.04586588,31.94910828,1.0,1.0
chr2q::gain,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
chr3p::loss,STATE_A,STATE_B,29,19,0.7931034482758621,0.6842105263157895,0.10889292196007261,1.74074074,0.48557104,6.24044282,0.50070568,1.0
chr3p::loss,STATE_A,STATE_C,29,11,0.7931034482758621,0.7272727272727273,0.0658307210031348,1.48868778,0.326276,6.79238221,0.68606184,1.0
chr3p::loss,STATE_B,STATE_C,19,11,0.6842105263157895,0.7272727272727273,-0.0430622009569378,0.85520362,0.18019801,4.05871986,1.0,1.0
chr3p::gain,STATE_A,STATE_B,29,19,0.06896551724137931,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
chr3p::gain,STATE_A,STATE_C,29,11,0.06896551724137931,0.0,0.06896551724137931,2.09090909,0.09293513,47.04250164,1.0,1.0
chr3p::gain,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
