modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,estimable,,59,3,0.04015,1.171213,0.0006,9999,0.0006
wsi,estimable,,59,3,0.057146,1.697076,0.0001,9999,0.00016667
rna,estimable,,59,3,0.084663,2.589812,0.0001,9999,0.00016667
genomic,estimable,,59,3,0.034815,1.00999,0.0004,9999,0.0005
fused,estimable,,59,3,0.035443,1.028866,0.0001,9999,0.00016667
