feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared
wavelet-HHL_glcm_Autocorrelation,3,59,29;19;11,6.60046141,0.03687466,0.00427381,0.0821511
wavelet-HHL_glcm_Correlation,3,59,29;19;11,0.05170484,0.97447889,0.00427381,0.0
wavelet-HHL_glcm_Imc1,3,59,29;19;11,0.14040308,0.93220593,0.00427381,0.0
wavelet-HHL_glcm_Imc2,3,59,29;19;11,5.2679286,0.07179329,0.00427381,0.05835587
wavelet-HHL_glcm_InverseVariance,3,59,29;19;11,5.50766305,0.06368339,0.00427381,0.06263684
wavelet-HHL_glrlm_LongRunEmphasis,3,59,29;19;11,7.48901423,0.02364728,0.00427381,0.09801811
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,3,59,29;19;11,11.23401128,0.00363551,0.00427381,0.16489306
wavelet-HHL_glrlm_RunEntropy,3,59,29;19;11,1.40947598,0.49423805,0.02857216,0.0
wavelet-HHL_glszm_GrayLevelNonUniformity,3,59,29;19;11,6.08797004,0.04764465,0.02857216,0.07299947
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,3,59,29;19;11,4.95386732,0.0840004,0.02857216,0.05274763
wavelet-HHL_glszm_SmallAreaEmphasis,3,59,29;19;11,3.87872897,0.14379531,0.02857216,0.03354873
wavelet-HHL_glszm_ZonePercentage,3,59,29;19;11,6.224523,0.0445002,0.02857216,0.07543791
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,3,59,29;19;11,7.38887077,0.02486149,0.02857216,0.09622984
wavelet-HHH_firstorder_Entropy,3,59,29;19;11,0.00042506,0.99978749,0.03934569,0.0
wavelet-HHH_firstorder_Kurtosis,3,59,29;19;11,2.15293667,0.34079698,0.03934569,0.00273101
wavelet-HHH_firstorder_Maximum,3,59,29;19;11,4.39699216,0.11096992,0.03934569,0.04280343
wavelet-HHH_firstorder_Mean,3,59,29;19;11,3.9178633,0.14100899,0.03934569,0.03424756
wavelet-HHH_firstorder_Median,3,59,29;19;11,3.35844116,0.1865193,0.03934569,0.02425788
wavelet-HHH_firstorder_Skewness,3,59,29;19;11,2.90765243,0.23367449,0.03934569,0.01620808
wavelet-HHH_glcm_Autocorrelation,3,59,29;19;11,3.31072514,0.19102278,0.03934569,0.02340581
wavelet-HHH_glcm_Correlation,3,59,29;19;11,0.55799932,0.75654016,0.03934569,0.0
wavelet-HHH_glcm_Idmn,3,59,29;19;11,2.89286044,0.23540915,0.03934569,0.01594394
wavelet-HHH_glcm_Imc1,3,59,29;19;11,4.87999687,0.08716099,0.03934569,0.05142852
wavelet-HHH_glcm_Imc2,3,59,29;19;11,2.11069718,0.34807107,0.03934569,0.00197674
wavelet-HHH_glcm_MaximumProbability,3,59,29;19;11,1.51850536,0.46801605,0.03934569,0.0
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,3,59,29;19;11,4.96020179,0.08373478,0.03934569,0.05286075
wavelet-HHH_glrlm_RunEntropy,3,59,29;19;11,1.92978616,0.38102394,0.03934569,0.0
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,3,59,29;19;11,1.02660354,0.59851615,0.03934569,0.0
wavelet-HHH_glrlm_RunVariance,3,59,29;19;11,1.03515949,0.59596118,0.03934569,0.0
wavelet-HHH_glszm_GrayLevelVariance,3,59,29;19;11,3.59280371,0.16589473,0.03934569,0.02844292
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,3,59,29;19;11,6.61895364,0.03653528,0.03934569,0.08248132
wavelet-HHH_glszm_SmallAreaEmphasis,3,59,29;19;11,0.94265588,0.62417285,0.05212671,0.0
wavelet-HHH_glszm_ZoneEntropy,3,59,29;19;11,5.78168942,0.05552929,0.05212671,0.06753017
wavelet-HHH_glszm_ZonePercentage,3,59,29;19;11,0.15402728,0.92587723,0.05212671,0.0
wavelet-HHH_gldm_DependenceEntropy,3,59,29;19;11,2.15262123,0.34085074,0.05212671,0.00272538
wavelet-HHH_gldm_DependenceVariance,3,59,29;19;11,1.37491212,0.50285367,0.05212671,0.0
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,3,59,29;19;11,2.1855598,0.33528314,0.05212671,0.00331357
wavelet-LLL_firstorder_Entropy,3,59,29;19;11,6.00801009,0.04958807,0.05212671,0.07157161
wavelet-LLL_firstorder_Kurtosis,3,59,29;19;11,2.6462546,0.26630119,0.06019728,0.01154026
wavelet-LLL_firstorder_MeanAbsoluteDeviation,3,59,29;19;11,5.70650477,0.05765649,0.06019728,0.06618759
wavelet-LLL_firstorder_Minimum,3,59,29;19;11,1.40836971,0.49451151,0.06273866,0.0
wavelet-LLL_firstorder_Skewness,3,59,29;19;11,0.50067254,0.77853894,0.06273866,0.0
wavelet-LLL_glcm_Correlation,3,59,29;19;11,2.49762443,0.2868453,0.06273866,0.00888615
wavelet-LLL_glcm_Idmn,3,59,29;19;11,2.92990417,0.23108906,0.06273866,0.01660543
wavelet-LLL_glcm_Idn,3,59,29;19;11,2.57138862,0.27645857,0.06273866,0.01020337
wavelet-LLL_glcm_Imc1,3,59,29;19;11,3.3196547,0.19017181,0.06273866,0.02356526
wavelet-LLL_glcm_MaximumProbability,3,59,29;19;11,4.55562348,0.10250828,0.06273866,0.04563613
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,3,59,29;19;11,3.38136069,0.18439403,0.06273866,0.02466716
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,3,59,29;19;11,5.2353614,0.07297191,0.06273866,0.05777431
wavelet-LLL_glszm_ZoneEntropy,3,59,29;19;11,3.39409898,0.18322333,0.06273866,0.02489462
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,3,59,29;19;11,1.9157369,0.38370991,0.06273866,0.0
wavelet-LLL_ngtdm_Contrast,3,59,29;19;11,5.54405913,0.06253496,0.06273866,0.06328677
wavelet-LLL_ngtdm_Strength,3,59,29;19;11,4.74344615,0.09331979,0.09331979,0.04899011
