feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ARID1A,STATE_A,STATE_B,29,19,0.0,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,0.39583333,1.0
mutation::ARID1A,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
mutation::ARID1A,STATE_B,STATE_C,19,11,0.05263157894736842,0.0,0.05263157894736842,1.86486486,0.06987748,49.7688401,1.0,1.0
mutation::ATM,STATE_A,STATE_B,29,19,0.034482758620689655,0.10526315789473684,-0.07078039927404718,0.36842105,0.04466747,3.03876788,0.55400093,1.0
mutation::ATM,STATE_A,STATE_C,29,11,0.034482758620689655,0.0,0.034482758620689655,1.21052632,0.04586588,31.94910828,1.0,1.0
mutation::ATM,STATE_B,STATE_C,19,11,0.10526315789473684,0.0,0.10526315789473684,3.28571429,0.14418449,74.87572704,0.51954023,1.0
mutation::BAP1,STATE_A,STATE_B,29,19,0.0,0.21052631578947367,-0.21052631578947367,0.05838041,0.00294818,1.15606019,0.01991983,0.05975949
mutation::BAP1,STATE_A,STATE_C,29,11,0.0,0.45454545454545453,-0.45454545454545453,0.02003082,0.00098036,0.40927002,0.00070212,0.05975949
mutation::BAP1,STATE_B,STATE_C,19,11,0.21052631578947367,0.45454545454545453,-0.24401913875598086,0.3431085,0.07309454,1.61056411,0.22518741,0.22518741
mutation::CDKN2A,STATE_A,STATE_B,29,19,0.0,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
mutation::CDKN2A,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
mutation::CDKN2A,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
mutation::DST,STATE_A,STATE_B,29,19,0.034482758620689655,0.05263157894736842,-0.018148820326678763,0.64912281,0.06267595,6.72284103,1.0,1.0
mutation::DST,STATE_A,STATE_C,29,11,0.034482758620689655,0.0,0.034482758620689655,1.21052632,0.04586588,31.94910828,1.0,1.0
mutation::DST,STATE_B,STATE_C,19,11,0.05263157894736842,0.0,0.05263157894736842,1.86486486,0.06987748,49.7688401,1.0,1.0
mutation::ELOC,STATE_A,STATE_B,29,19,0.0,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
mutation::ELOC,STATE_A,STATE_C,29,11,0.0,0.0,0.0,0.38983051,0.00729314,20.83709818,1.0,1.0
mutation::ELOC,STATE_B,STATE_C,19,11,0.0,0.0,0.0,0.58974359,0.0109411,31.7881675,1.0,1.0
