threshold,core_count,core_patient_count,core_sizes
0.5,4,75,"[32, 16, 14, 13]"
0.6666666666666666,6,62,"[19, 14, 11, 8, 5, 5]"
0.75,3,33,"[18, 10, 5]"
0.8,3,33,"[18, 10, 5]"
