left_run,right_run,same_initial_k,left_accepted_count,right_accepted_count,accepted_intersection_count,accepted_union_count,both_empty,accepted_coverage_jaccard,adjusted_rand_index,adjusted_mutual_information,matched_mean_jaccard,matched_mean_dice
run1_K2,run1_K3,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509322,0.3632478632478633,0.4695340501792115
run1_K2,run1_K4,False,103,73,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460134,0.33123249299719887,0.42337164750957856
run1_K2,run1_K5,False,103,82,82,103,False,0.7961165048543689,0.28550395540435297,0.2952976826712592,0.22730654761904762,0.2939689418562658
run1_K2,run1_K6,False,103,65,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553764,0.14443108974358976,0.22181906144170294
run1_K2,run1_K7,False,103,53,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912825,0.228125,0.3334788302051506
run1_K2,run1_K8,False,103,29,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227267,0.3078125,0.4453215695379614
run1_K2,run2_K2,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run1_K2,run2_K3,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509322,0.3632478632478633,0.4695340501792115
run1_K2,run2_K4,False,103,73,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460134,0.33123249299719887,0.42337164750957856
run1_K2,run2_K5,False,103,82,82,103,False,0.7961165048543689,0.28550395540435297,0.2952976826712592,0.22730654761904762,0.2939689418562658
run1_K2,run2_K6,False,103,65,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553764,0.14443108974358976,0.22181906144170294
run1_K2,run2_K7,False,103,53,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912825,0.228125,0.3334788302051506
run1_K2,run2_K8,False,103,29,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227267,0.3078125,0.4453215695379614
run1_K2,run3_K2,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run1_K2,run3_K3,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509322,0.3632478632478633,0.4695340501792115
run1_K2,run3_K4,False,103,73,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460134,0.33123249299719887,0.42337164750957856
run1_K2,run3_K5,False,103,82,82,103,False,0.7961165048543689,0.28550395540435297,0.2952976826712592,0.22730654761904762,0.2939689418562658
run1_K2,run3_K6,False,103,65,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553764,0.14443108974358976,0.22181906144170294
run1_K2,run3_K7,False,103,53,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912825,0.228125,0.3334788302051506
run1_K2,run3_K8,False,103,29,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227267,0.3078125,0.4453215695379614
run1_K3,run1_K4,False,103,73,73,103,False,0.7087378640776699,0.48851925159458437,0.533603306417451,0.5108417508417509,0.6577380952380952
run1_K3,run1_K5,False,103,82,82,103,False,0.7961165048543689,0.2992493297932421,0.3586993972309621,0.3364285714285714,0.45480410574750196
run1_K3,run1_K6,False,103,65,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run1_K3,run1_K7,False,103,53,53,103,False,0.5145631067961165,0.3041218282838171,0.3293816002585588,0.31941391941391944,0.4484126984126984
run1_K3,run1_K8,False,103,29,29,103,False,0.2815533980582524,0.4878373875374875,0.4719949762684226,0.2530864197530864,0.34330011074197114
run1_K3,run2_K2,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509324,0.3632478632478633,0.4695340501792115
run1_K3,run2_K3,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run1_K3,run2_K4,False,103,73,73,103,False,0.7087378640776699,0.48851925159458437,0.533603306417451,0.5108417508417509,0.6577380952380952
run1_K3,run2_K5,False,103,82,82,103,False,0.7961165048543689,0.2992493297932421,0.3586993972309621,0.3364285714285714,0.45480410574750196
run1_K3,run2_K6,False,103,65,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run1_K3,run2_K7,False,103,53,53,103,False,0.5145631067961165,0.3041218282838171,0.3293816002585588,0.31941391941391944,0.4484126984126984
run1_K3,run2_K8,False,103,29,29,103,False,0.2815533980582524,0.4878373875374875,0.4719949762684226,0.2530864197530864,0.34330011074197114
run1_K3,run3_K2,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509324,0.3632478632478633,0.4695340501792115
run1_K3,run3_K3,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run1_K3,run3_K4,False,103,73,73,103,False,0.7087378640776699,0.48851925159458437,0.533603306417451,0.5108417508417509,0.6577380952380952
run1_K3,run3_K5,False,103,82,82,103,False,0.7961165048543689,0.2992493297932421,0.3586993972309621,0.3364285714285714,0.45480410574750196
run1_K3,run3_K6,False,103,65,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run1_K3,run3_K7,False,103,53,53,103,False,0.5145631067961165,0.3041218282838171,0.3293816002585588,0.31941391941391944,0.4484126984126984
run1_K3,run3_K8,False,103,29,29,103,False,0.2815533980582524,0.4878373875374875,0.4719949762684226,0.2530864197530864,0.34330011074197114
run1_K4,run1_K5,False,73,82,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810795,0.6577183600713012,0.697880414159484
run1_K4,run1_K6,False,73,65,56,82,False,0.6829268292682927,0.6134683302140174,0.6715406534740218,0.4622859025032938,0.5642533092141155
run1_K4,run1_K7,False,73,53,45,81,False,0.5555555555555556,0.66832625567433,0.6180704716582128,0.4545454545454546,0.5905683010946169
