run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete_all_accepted,3,2,103,5,15636
run1_K3,3,1,True,complete,review_complete_all_accepted,4,3,103,5,16422
run1_K4,4,1,True,complete,review_complete_with_dropped_sets,11,0,0,16,47767
run1_K5,5,1,True,complete,review_complete_with_dropped_sets,12,0,0,19,54360
run1_K6,6,1,True,complete,review_complete_with_dropped_sets,12,0,0,17,54176
run1_K7,7,1,True,complete,review_complete_with_dropped_sets,10,0,0,17,48169
run1_K8,8,1,True,complete,review_complete_with_dropped_sets,12,0,0,16,47508
run2_K2,2,2,True,complete,review_complete_all_accepted,3,2,103,4,14648
run2_K3,3,2,True,complete,review_complete_all_accepted,4,3,103,6,17594
run2_K4,4,2,True,complete,review_complete_with_dropped_sets,11,0,0,15,45659
run2_K5,5,2,True,complete,review_complete_with_dropped_sets,12,0,0,18,52126
run2_K6,6,2,True,complete,review_complete_with_dropped_sets,12,0,0,17,54315
run2_K7,7,2,True,complete,review_complete_with_dropped_sets,10,0,0,16,47154
run2_K8,8,2,True,complete,review_complete_with_dropped_sets,12,0,0,14,44496
run3_K2,2,3,True,complete,review_complete_all_accepted,3,2,103,5,15670
run3_K3,3,3,True,complete,review_complete_all_accepted,4,3,103,5,16594
run3_K4,4,3,True,complete,review_complete_with_dropped_sets,11,0,0,17,48181
run3_K5,5,3,True,complete,review_complete_with_dropped_sets,12,0,0,19,53328
run3_K6,6,3,True,complete,review_complete_with_dropped_sets,12,0,0,17,53398
run3_K7,7,3,True,complete,review_complete_with_dropped_sets,10,0,0,15,45730
run3_K8,8,3,True,complete,review_complete_with_dropped_sets,12,0,0,15,45855
