core_id,core_size,all_members_accepted_run_count,all_members_accepted_run_fraction,same_set_run_count,same_set_run_fraction,conditional_same_set_fraction,k_coverage_any,k_coverage_majority,recovered_runs_by_k,mean_within_conditional_coassignment,min_within_conditional_coassignment,mean_within_coacceptance,min_within_coacceptance,mean_outside_conditional_coassignment,max_outside_conditional_coassignment,mean_acceptance_frequency,min_acceptance_frequency,member_ids
CORE01,16,15,0.7142857142857143,15,0.7142857142857143,1.0,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""7"": 3}",0.9843253968253969,0.8333333333333334,0.9476190476190477,0.7142857142857143,0.17569786535303777,1.0,0.9732142857142857,0.8571428571428571,"[""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195""]"
CORE02,12,15,0.7142857142857143,12,0.5714285714285714,0.8,4,4,"{""2"": 3, ""3"": 3, ""4"": 3, ""6"": 3}",0.9262626262626262,0.6666666666666666,0.8333333333333331,0.7142857142857143,0.3726648351648352,1.0,0.8571428571428572,0.8571428571428571,"[""TCGA-B0-5702"", ""TCGA-B0-5706"", ""TCGA-B8-4148"", ""TCGA-B8-5162"", ""TCGA-B8-5549"", ""TCGA-B8-A54F"", ""TCGA-BP-4167"", ""TCGA-BP-4967"", ""TCGA-BP-4989"", ""TCGA-CZ-4865"", ""TCGA-CZ-5984"", ""TCGA-G6-A8L7""]"
CORE03,10,15,0.7142857142857143,12,0.5714285714285714,0.8,4,4,"{""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3}",0.9288888888888889,0.8,0.7142857142857143,0.7142857142857143,0.30060931899641574,1.0,0.7142857142857143,0.7142857142857143,"[""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4622"", ""TCGA-B8-A54D"", ""TCGA-BP-4977"", ""TCGA-BP-5000"", ""TCGA-BP-5001"", ""TCGA-BP-5200"", ""TCGA-CZ-5988""]"
CORE04,8,15,0.7142857142857143,12,0.5714285714285714,0.8,4,4,"{""2"": 3, ""5"": 3, ""6"": 3, ""7"": 3}",0.95,0.8,0.7142857142857144,0.7142857142857143,0.3790350877192982,1.0,0.7321428571428572,0.7142857142857143,"[""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-B8-A54E"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-6028"", ""TCGA-CZ-5985""]"
CORE05,6,15,0.7142857142857143,12,0.5714285714285714,0.8,4,4,"{""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3}",0.9355555555555556,0.8,0.7238095238095236,0.7142857142857143,0.35378006872852236,1.0,0.7619047619047619,0.7142857142857143,"[""TCGA-B8-5158"", ""TCGA-BP-4164"", ""TCGA-BP-4992"", ""TCGA-BP-5009"", ""TCGA-CJ-6027"", ""TCGA-G6-A5PC""]"
CORE06,5,18,0.8571428571428571,15,0.7142857142857143,0.8333333333333334,5,5,"{""2"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3}",0.9000000000000001,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.24350826044703594,0.8333333333333334,0.8857142857142858,0.8571428571428571,"[""TCGA-B8-5159"", ""TCGA-B8-5164"", ""TCGA-B8-5553"", ""TCGA-CZ-4863"", ""TCGA-CZ-5451""]"
CORE07,5,15,0.7142857142857143,15,0.7142857142857143,1.0,5,5,"{""2"": 3, ""3"": 3, ""4"": 3, ""6"": 3, ""7"": 3}",1.0,1.0,0.8,0.7142857142857143,0.353843537414966,1.0,0.8571428571428571,0.8571428571428571,"[""TCGA-B8-A54G"", ""TCGA-BP-5180"", ""TCGA-CJ-4903"", ""TCGA-CJ-6030"", ""TCGA-CZ-5462""]"
