left_run,right_run,same_initial_k,left_accepted_count,right_accepted_count,accepted_intersection_count,accepted_union_count,both_empty,accepted_coverage_jaccard,adjusted_rand_index,adjusted_mutual_information,matched_mean_jaccard,matched_mean_dice,matched_set_pairs
run2_K8,run3_K2,False,0,103,0,103,False,0.0,,,0.0,0.0,[]
run2_K8,run3_K3,False,0,73,0,73,False,0.0,,,0.0,0.0,[]
run2_K8,run3_K4,False,0,85,0,85,False,0.0,,,0.0,0.0,[]
run2_K8,run3_K5,False,0,46,0,46,False,0.0,,,0.0,0.0,[]
run2_K8,run3_K6,False,0,31,0,31,False,0.0,,,0.0,0.0,[]
run2_K8,run3_K7,False,0,0,0,0,True,,,,,,[]
run2_K8,run3_K8,True,0,0,0,0,True,,,,,,[]
run3_K2,run3_K3,False,103,73,73,103,False,0.7087378640776699,0.6940185594958119,0.5855668948488087,0.6421464108031272,0.7755696873343932,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.5223880597014925, ""dice"": 0.6862745098039216, ""overlap"": 0.9210526315789473}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0003"", ""jaccard"": 0.7619047619047619, ""dice"": 0.8648648648648649, ""overlap"": 0.9142857142857143}]"
run3_K2,run3_K4,False,103,85,85,103,False,0.8252427184466019,0.45563077703613275,0.4809401808243231,0.3891369047619048,0.485663082437276,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.453125, ""dice"": 0.6236559139784946, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.7142857142857143, ""dice"": 0.8333333333333334, ""overlap"": 0.9090909090909091}]"
run3_K2,run3_K5,False,103,46,46,103,False,0.44660194174757284,0.7491295680064336,0.6891806682918047,0.45461309523809523,0.5879378837125316,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.21875, ""dice"": 0.358974358974359, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.6904761904761905, ""dice"": 0.8169014084507042, ""overlap"": 0.90625}]"
run3_K2,run3_K6,False,103,31,31,103,False,0.30097087378640774,0.8709838521724654,0.8171869814298707,0.31875,0.46823956442831216,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.1875, ""dice"": 0.3157894736842105, ""overlap"": 1.0}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.45, ""dice"": 0.6206896551724138, ""overlap"": 0.9473684210526315}]"
run3_K2,run3_K7,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run3_K2,run3_K8,False,103,0,0,103,False,0.0,,,0.0,0.0,[]
run3_K3,run3_K4,False,73,85,55,103,False,0.5339805825242718,0.927258576303658,0.8828556312060847,0.45925925925925926,0.5326309628328944,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0001"", ""jaccard"": 0.4888888888888889, ""dice"": 0.6567164179104478, ""overlap"": 0.7586206896551724}, {""left_set_id"": ""C0003"", ""right_set_id"": ""C0002"", ""jaccard"": 0.8888888888888888, ""dice"": 0.9411764705882353, ""overlap"": 0.9696969696969697}]"
run3_K3,run3_K5,False,73,46,40,79,False,0.5063291139240507,1.0,1.0,0.548051948051948,0.6314580941446613,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.18181818181818182, ""dice"": 0.3076923076923077, ""overlap"": 0.5714285714285714}, {""left_set_id"": ""C0003"", ""right_set_id"": ""C0002"", ""jaccard"": 0.9142857142857143, ""dice"": 0.9552238805970149, ""overlap"": 1.0}]"
run3_K3,run3_K6,False,73,31,26,78,False,0.3333333333333333,1.0,1.0,0.3528239202657807,0.4918518518518519,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.16279069767441862, ""dice"": 0.28, ""overlap"": 0.5833333333333334}, {""left_set_id"": ""C0003"", ""right_set_id"": ""C0002"", ""jaccard"": 0.5428571428571428, ""dice"": 0.7037037037037037, ""overlap"": 1.0}]"
run3_K3,run3_K7,False,73,0,0,73,False,0.0,,,0.0,0.0,[]
run3_K3,run3_K8,False,73,0,0,73,False,0.0,,,0.0,0.0,[]
run3_K4,run3_K5,False,85,46,45,86,False,0.5232558139534884,0.9262502690085586,0.8657735170355297,0.4114676173499703,0.46774001192605846,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0005"", ""jaccard"": 0.2647058823529412, ""dice"": 0.4186046511627907, ""overlap"": 0.6428571428571429}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.9696969696969697, ""dice"": 0.9846153846153847, ""overlap"": 1.0}]"
run3_K4,run3_K6,False,85,31,30,86,False,0.3488372093023256,0.8717138523761375,0.837211910686619,0.2605466428995841,0.3574108818011257,"[{""left_set_id"": ""C0001"", ""right_set_id"": ""C0006"", ""jaccard"": 0.20588235294117646, ""dice"": 0.34146341463414637, ""overlap"": 0.5833333333333334}, {""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.5757575757575758, ""dice"": 0.7307692307692307, ""overlap"": 1.0}]"
run3_K4,run3_K7,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run3_K4,run3_K8,False,85,0,0,85,False,0.0,,,0.0,0.0,[]
run3_K5,run3_K6,False,46,31,31,46,False,0.6739130434782609,1.0,1.0,0.7254464285714286,0.8340874811463047,"[{""left_set_id"": ""C0002"", ""right_set_id"": ""C0002"", ""jaccard"": 0.59375, ""dice"": 0.7450980392156863, ""overlap"": 1.0}, {""left_set_id"": ""C0005"", ""right_set_id"": ""C0006"", ""jaccard"": 0.8571428571428571, ""dice"": 0.9230769230769231, ""overlap"": 1.0}]"
run3_K5,run3_K7,False,46,0,0,46,False,0.0,,,0.0,0.0,[]
run3_K5,run3_K8,False,46,0,0,46,False,0.0,,,0.0,0.0,[]
run3_K6,run3_K7,False,31,0,0,31,False,0.0,,,0.0,0.0,[]
run3_K6,run3_K8,False,31,0,0,31,False,0.0,,,0.0,0.0,[]
run3_K7,run3_K8,False,0,0,0,0,True,,,,,,[]
