jaccard_threshold,overlap_threshold,relation_component_count,recurrent_relation_component_count,cohesive_family_count,cohesive_family_sizes
0.5,0.8,8,5,7,"[67, 42, 36, 30, 21, 17, 13]"
0.5,1.0,12,5,8,"[35, 33, 29, 21, 21, 15, 14, 13]"
0.6666666666666666,0.8,10,5,6,"[42, 30, 22, 21, 17, 13]"
0.6666666666666666,1.0,14,5,7,"[35, 29, 21, 21, 15, 14, 13]"
0.75,0.8,12,6,8,"[42, 36, 23, 22, 15, 15, 14, 13]"
0.75,1.0,17,3,4,"[35, 15, 14, 13]"
