run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,1,2,103,3,39322
run1_K3,3,1,True,complete,review_complete,unavailable,1,0,0,3,53390
run1_K4,4,1,True,complete,review_complete,unavailable,1,3,85,3,73584
run1_K5,5,1,True,complete,review_complete,unavailable,1,1,14,3,91132
run1_K6,6,1,True,complete,review_complete,unavailable,1,1,12,4,227184
run1_K7,7,1,True,complete,review_complete,unavailable,1,1,19,3,139158
run1_K8,8,1,True,complete,review_complete,unavailable,1,0,0,3,163495
run2_K2,2,2,True,complete,review_complete,unavailable,1,2,103,3,39143
run2_K3,3,2,True,complete,review_complete,unavailable,1,1,35,3,52441
run2_K4,4,2,True,complete,review_complete,unavailable,1,0,0,3,70368
run2_K5,5,2,True,complete,review_complete,unavailable,1,1,14,3,92581
run2_K6,6,2,True,complete,review_complete,unavailable,1,1,12,4,223837
run2_K7,7,2,True,complete,review_complete,unavailable,1,1,19,3,137667
run2_K8,8,2,True,complete,review_complete,unavailable,1,0,0,3,163985
run3_K2,2,3,True,complete,review_complete,unavailable,1,2,103,3,38583
run3_K3,3,3,True,complete,review_complete,unavailable,1,2,73,3,53434
run3_K4,4,3,True,complete,review_complete,unavailable,1,3,85,3,70338
run3_K5,5,3,True,complete,review_complete,unavailable,1,2,46,3,91676
run3_K6,6,3,True,complete,review_complete,unavailable,1,2,31,3,118305
run3_K7,7,3,True,complete,review_complete,unavailable,1,0,0,3,141371
run3_K8,8,3,True,complete,review_complete,unavailable,1,0,0,3,162524
