state_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
STATE_A,HALLMARK_NOTCH_SIGNALING,28,64,0.32824579,0.31840622,0.31956537,0.30776025,0.24379167,up,0.2572893,0.35734625,28,64
STATE_A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,28,64,0.58224644,0.57512076,0.59314241,0.57525966,0.36497305,up,0.22658936,0.34290429,28,64
STATE_A,HALLMARK_P53_PATHWAY,28,64,0.36066933,0.38125978,0.36136717,0.3807349,-0.71917381,down,0.0039661,0.01652542,28,64
STATE_A,HALLMARK_PANCREAS_BETA_CELLS,28,64,0.33011826,0.23723493,0.31166907,0.23908843,0.76682386,up,0.00107099,0.00892492,28,64
STATE_A,HALLMARK_PEROXISOME,28,64,0.36138498,0.35558381,0.36262514,0.34760502,0.42302915,up,0.17591329,0.30329878,28,64
STATE_A,HALLMARK_PI3K_AKT_MTOR_SIGNALING,28,64,0.31615705,0.32007854,0.31506447,0.32081068,-0.27286202,down,0.28690449,0.37750591,28,64
STATE_A,HALLMARK_PROTEIN_SECRETION,28,64,0.47709377,0.45465248,0.47562678,0.44227725,0.59428466,up,0.01215952,0.03576329,28,64
STATE_A,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,28,64,0.49941893,0.51370302,0.49998934,0.51252074,-0.48820986,down,0.02888666,0.0656515,28,64
STATE_A,HALLMARK_SPERMATOGENESIS,28,64,-0.17504216,-0.17483882,-0.16231349,-0.16608412,0.09925738,up,0.4325042,0.52744415,28,64
STATE_A,HALLMARK_TGF_BETA_SIGNALING,28,64,0.49607416,0.46997909,0.48475916,0.45721024,0.48657358,up,0.02123232,0.0530808,28,64
STATE_A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,28,64,0.36633299,0.41307134,0.36180723,0.4018333,-0.54615623,down,0.02373451,0.05651074,28,64
STATE_A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,28,64,0.41480794,0.42845389,0.41484943,0.42697093,-0.40309015,down,0.04948309,0.10308977,28,64
STATE_A,HALLMARK_UV_RESPONSE_DN,28,64,0.27084454,0.23010357,0.26365235,0.22668257,0.68152265,up,0.00198155,0.01238469,28,64
STATE_A,HALLMARK_UV_RESPONSE_UP,28,64,0.39333614,0.40275585,0.39546415,0.40339781,-0.42442177,down,0.0143619,0.03989417,28,64
STATE_A,HALLMARK_WNT_BETA_CATENIN_SIGNALING,28,64,0.15974524,0.15638179,0.15732739,0.15244519,0.07935292,up,0.75677185,0.78830401,28,64
STATE_A,HALLMARK_XENOBIOTIC_METABOLISM,28,64,0.3438669,0.34438112,0.33640955,0.33565393,0.01823044,up,0.82208262,0.83885982,28,64
STATE_B,HALLMARK_ADIPOGENESIS,19,73,0.43412328,0.48115977,0.43881343,0.47565706,-1.23060999,down,7.669e-05,0.00054779,19,73
STATE_B,HALLMARK_ALLOGRAFT_REJECTION,19,73,0.27728079,0.21038946,0.28543951,0.22111909,0.68319956,up,0.00316307,0.01054357,19,73
STATE_B,HALLMARK_ANDROGEN_RESPONSE,19,73,0.35969844,0.41698018,0.36358306,0.40406784,-0.77958467,down,0.00051608,0.00286711,19,73
STATE_B,HALLMARK_ANGIOGENESIS,19,73,0.52947594,0.45317207,0.49704013,0.44381301,0.64841739,up,0.01119074,0.02797685,19,73
