core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
STATE_A,STATE_C,t_stage,,,,,,,0.47948718,0.61648352,T2,1,29,1,11,0.034482758620689655,0.09090909090909091,-0.05642633228840126,0.36842105,0.03439749,3.9460461,,,,,,
STATE_A,STATE_C,t_stage,,,,,,,0.275,0.495,T2B,0,29,1,11,0.0,0.09090909090909091,-0.09090909090909091,0.11864407,0.00447667,3.14439374,,,,,,
STATE_A,STATE_C,t_stage,,,,,,,0.60295164,0.67832059,T3A,3,29,2,11,0.10344827586206896,0.18181818181818182,-0.07836990595611286,0.50188679,0.08427744,2.98882295,,,,,,
STATE_A,STATE_C,t_stage,,,,,,,0.275,0.495,T4,0,29,1,11,0.0,0.09090909090909091,-0.09090909090909091,0.11864407,0.00447667,3.14439374,,,,,,
STATE_A,STATE_C,m_stage,,,,,,,0.00135401,0.01218609,M0,28,29,4,9,0.9655172413793104,0.4444444444444444,0.521072796934866,23.22222222,2.95659075,182.39643234,,,,,,
STATE_A,STATE_C,m_stage,,,,,,,0.00135401,0.01218609,M1,1,29,5,9,0.034482758620689655,0.5555555555555556,-0.521072796934866,0.0430622,0.00548256,0.3382274,,,,,,
STATE_A,STATE_C,grade,,,,,,,0.07269801,0.19938659,G2,16,29,2,11,0.5517241379310345,0.18181818181818182,0.36990595611285265,4.64444444,0.96825599,22.27805903,,,,,,
STATE_A,STATE_C,grade,,,,,,,1.0,1.0,G3,13,29,5,11,0.4482758620689655,0.45454545454545453,-0.006269592476489005,0.96694215,0.25212829,3.7083388,,,,,,
STATE_A,STATE_C,grade,,,,,,,0.0036109,0.01624905,G4,0,29,4,11,0.0,0.36363636363636365,-0.36363636363636365,0.02824859,0.0013652,0.58451574,,,,,,
STATE_A,STATE_C,overall_survival,,,,,,,0.00526965,0.00790447,,,,,,,,,,,,29,11,1,6,1133.0,1661.0
STATE_B,STATE_C,age,19,11,68.0,58.0,0.41335253,0.41335253,0.19582351,0.53152096,,,,,,,,,,,,,,,,,
STATE_B,STATE_C,gender,,,,,,,0.10399877,0.32932944,FEMALE,3,19,5,11,0.15789473684210525,0.45454545454545453,-0.2966507177033493,0.25068871,0.04967976,1.26499859,,,,,,
STATE_B,STATE_C,gender,,,,,,,0.10399877,0.32932944,MALE,16,19,6,11,0.8421052631578947,0.5454545454545454,0.2966507177033493,3.98901099,0.79051472,20.12892146,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.7116299,1.0,I,7,19,5,11,0.3684210526315789,0.45454545454545453,-0.0861244019138756,0.70909091,0.16595787,3.02974437,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,1.0,1.0,II,3,19,1,11,0.15789473684210525,0.09090909090909091,0.06698564593301434,1.48484848,0.18861945,11.68901196,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.06125553,0.32932944,III,6,19,0,11,0.3157894736842105,0.0,0.3157894736842105,11.07407407,0.56131209,218.47937926,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.10399877,0.32932944,IV,3,19,5,11,0.15789473684210525,0.45454545454545453,-0.2966507177033493,0.25068871,0.04967976,1.26499859,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T1A,5,19,3,11,0.2631578947368421,0.2727272727272727,-0.009569377990430616,0.92118227,0.18875029,4.49576399,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.32682834,0.68997094,T1B,2,19,3,11,0.10526315789473684,0.2727272727272727,-0.16746411483253587,0.34693878,0.05631643,2.13732493,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T2,3,19,1,11,0.15789473684210525,0.09090909090909091,0.06698564593301434,1.48484848,0.18861945,11.68901196,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.36666667,0.69666667,T2B,0,19,1,11,0.0,0.09090909090909091,-0.09090909090909091,0.17948718,0.00670385,4.80554159,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T3A,5,19,2,11,0.2631578947368421,0.18181818181818182,0.08133971291866027,1.44137931,0.26220249,7.92354912,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.27931034,0.66336206,T3B,3,19,0,11,0.15789473684210525,0.0,0.15789473684210525,4.87878788,0.22935134,103.78213059,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T4,1,19,1,11,0.05263157894736842,0.09090909090909091,-0.038277511961722493,0.56756757,0.05218541,6.1728551,,,,,,
STATE_B,STATE_C,m_stage,,,,,,,0.01957535,0.18596582,M0,17,19,4,9,0.8947368421052632,0.4444444444444444,0.45029239766081874,8.55555556,1.38777483,52.74452968,,,,,,
STATE_B,STATE_C,m_stage,,,,,,,0.01957535,0.18596582,M1,2,19,5,9,0.10526315789473684,0.5555555555555556,-0.45029239766081874,0.11688312,0.01895931,0.72057799,,,,,,
STATE_B,STATE_C,grade,,,,,,,0.67219467,1.0,G2,6,19,2,11,0.3157894736842105,0.18181818181818182,0.13397129186602869,1.82962963,0.34158506,9.80003223,,,,,,
STATE_B,STATE_C,grade,,,,,,,1.0,1.0,G3,9,19,5,11,0.47368421052631576,0.45454545454545453,0.019138755980861233,1.06926407,0.25456308,4.49132551,,,,,,
STATE_B,STATE_C,grade,,,,,,,0.41723497,0.72067858,G4,4,19,4,11,0.21052631578947367,0.36363636363636365,-0.15311004784688997,0.48387097,0.10058577,2.32767641,,,,,,
STATE_B,STATE_C,overall_survival,,,,,,,0.35401683,0.35401683,,,,,,,,,,,,19,11,9,6,1018.0,1661.0
