core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
STATE_A,STATE_B,HALLMARK_SPERMATOGENESIS,0.18769551,0.19843722,0.26815841,-0.17298912,-0.18260443
STATE_A,STATE_B,HALLMARK_TGF_BETA_SIGNALING,0.40421511,0.24624295,0.32400388,0.49628955,0.47695946
STATE_A,STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.93273105,0.00180746,0.00602487,0.36773665,0.43056029
STATE_A,STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.55290932,0.12903422,0.19550639,0.41660019,0.43510427
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_DN,0.58260736,0.02833959,0.05749154,0.27440562,0.24127043
STATE_A,STATE_B,HALLMARK_UV_RESPONSE_UP,-0.36296054,0.26384094,0.32980118,0.39342518,0.4053709
STATE_A,STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.44065389,0.08014834,0.13818679,0.16051216,0.194391
STATE_A,STATE_B,HALLMARK_XENOBIOTIC_METABOLISM,0.37001829,0.31156311,0.37090846,0.34130415,0.33350907
STATE_A,STATE_C,HALLMARK_ADIPOGENESIS,0.71470663,0.05255272,0.09731985,0.48191294,0.45604856
STATE_A,STATE_C,HALLMARK_ALLOGRAFT_REJECTION,-1.7217331,0.00027816,0.00281543,0.18191019,0.38130565
STATE_A,STATE_C,HALLMARK_ANDROGEN_RESPONSE,0.58248693,0.06038149,0.10063582,0.43491079,0.39383533
STATE_A,STATE_C,HALLMARK_ANGIOGENESIS,1.14775038,0.00484751,0.01615837,0.48000355,0.41347299
STATE_A,STATE_C,HALLMARK_APICAL_JUNCTION,0.51949358,0.19275159,0.26771054,0.29494401,0.27384912
STATE_A,STATE_C,HALLMARK_APICAL_SURFACE,0.12134933,0.7619639,0.77751418,0.08545271,0.08354874
STATE_A,STATE_C,HALLMARK_APOPTOSIS,-0.59672169,0.02919078,0.06081412,0.42848894,0.46377648
STATE_A,STATE_C,HALLMARK_BILE_ACID_METABOLISM,0.0070013,0.69374812,0.73802991,0.1875036,0.19261165
STATE_A,STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.220928,0.43096149,0.52556279,0.32094032,0.31485342
STATE_A,STATE_C,HALLMARK_COAGULATION,-0.31839342,0.363504,0.46603077,0.36243953,0.38339578
STATE_A,STATE_C,HALLMARK_COMPLEMENT,-1.05509884,0.0013238,0.00735444,0.29094564,0.34949657
STATE_A,STATE_C,HALLMARK_DNA_REPAIR,-0.69945584,0.04896819,0.09731985,0.2865297,0.30258107
STATE_A,STATE_C,HALLMARK_E2F_TARGETS,-1.58945902,0.00096121,0.00600756,0.08325272,0.12719772
STATE_A,STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.32029401,0.60659856,0.68931655,0.39642631,0.40113069
STATE_A,STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.55711737,0.20330493,0.27473639,0.24994541,0.22930422
STATE_A,STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,0.20633522,0.69374812,0.73802991,0.24796088,0.24624964
STATE_A,STATE_C,HALLMARK_FATTY_ACID_METABOLISM,0.60942075,0.05635401,0.10063216,0.43903394,0.39537376
STATE_A,STATE_C,HALLMARK_G2M_CHECKPOINT,-1.12291933,0.06038149,0.10063582,0.09098302,0.11162714
STATE_A,STATE_C,HALLMARK_GLYCOLYSIS,-0.48024712,0.09572026,0.1450307,0.3841888,0.39914687
STATE_A,STATE_C,HALLMARK_HEDGEHOG_SIGNALING,0.89721736,0.02702263,0.05874485,0.13946497,0.11661933
STATE_A,STATE_C,HALLMARK_HEME_METABOLISM,1.00275614,0.00584386,0.01826206,0.33338586,0.30941388
STATE_A,STATE_C,HALLMARK_HYPOXIA,0.03060043,0.60659856,0.68931655,0.45882313,0.46323766
STATE_A,STATE_C,HALLMARK_IL2_STAT5_SIGNALING,-0.35274448,0.18260647,0.26086639,0.27628294,0.30334729
STATE_A,STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.60183373,0.00015292,0.00281543,0.24840608,0.40657496
STATE_A,STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,-1.25032796,0.00035123,0.00281543,0.15645146,0.27636818
STATE_A,STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.60317006,0.00039416,0.00281543,0.38402631,0.49298365
STATE_A,STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.51770902,0.00035123,0.00281543,0.31919555,0.44658356
STATE_A,STATE_C,HALLMARK_KRAS_SIGNALING_DN,1.22564595,0.00330169,0.01179175,-0.14475455,-0.17819835
STATE_A,STATE_C,HALLMARK_KRAS_SIGNALING_UP,-0.58048362,0.08983742,0.14037097,0.19940452,0.23638443
STATE_A,STATE_C,HALLMARK_MITOTIC_SPINDLE,0.256826,0.43096149,0.52556279,0.17895389,0.16800792
STATE_A,STATE_C,HALLMARK_MTORC1_SIGNALING,-1.44942237,0.00027816,0.00281543,0.42203873,0.44978301
STATE_A,STATE_C,HALLMARK_MYC_TARGETS_V1,-0.67851607,0.16351304,0.24046035,0.56063301,0.5704714
STATE_A,STATE_C,HALLMARK_MYC_TARGETS_V2,-0.69992037,0.05255272,0.09731985,0.19250169,0.25002977
STATE_A,STATE_C,HALLMARK_MYOGENESIS,2.06304804,2.914e-05,0.001457,0.26700138,0.20626535
STATE_A,STATE_C,HALLMARK_NOTCH_SIGNALING,1.01431876,0.01538349,0.03496248,0.33030022,0.27017917
