core_a,core_b,feature,core_a_altered_n,core_a_total_n,core_a_frequency,core_b_altered_n,core_b_total_n,core_b_frequency,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,q_value
STATE_A,STATE_B,chr9q::loss,2,29,0.06896551724137931,5,19,0.2631578947368421,-0.19419237749546278,0.23966942,0.04720649,1.21681228,0.09668686,1.0
STATE_A,STATE_B,chr9q::gain,1,29,0.034482758620689655,1,19,0.05263157894736842,-0.018148820326678763,0.64912281,0.06267595,6.72284103,1.0,1.0
STATE_A,STATE_B,chr10p::loss,2,29,0.06896551724137931,2,19,0.10526315789473684,-0.03629764065335753,0.63636364,0.09979029,4.05809696,1.0,1.0
STATE_A,STATE_B,chr10p::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr10q::loss,2,29,0.06896551724137931,2,19,0.10526315789473684,-0.03629764065335753,0.63636364,0.09979029,4.05809696,1.0,1.0
STATE_A,STATE_B,chr10q::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr11p::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr11p::gain,2,29,0.06896551724137931,0,19,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
STATE_A,STATE_B,chr11q::loss,0,29,0.0,1,19,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,0.39583333,1.0
STATE_A,STATE_B,chr11q::gain,2,29,0.06896551724137931,0,19,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
STATE_A,STATE_B,chr12p::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr12p::gain,4,29,0.13793103448275862,5,19,0.2631578947368421,-0.12522686025408347,0.46524064,0.11441011,1.89186822,0.45108514,1.0
STATE_A,STATE_B,chr12q::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr12q::gain,5,29,0.1724137931034483,4,19,0.21052631578947367,-0.038112522686025385,0.77324263,0.19089696,3.13207806,1.0,1.0
STATE_A,STATE_B,chr13p::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr13p::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr13q::loss,2,29,0.06896551724137931,3,19,0.15789473684210525,-0.08892921960072595,0.42857143,0.07567566,2.42711411,0.37154676,1.0
STATE_A,STATE_B,chr13q::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr14p::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr14p::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr14q::loss,7,29,0.2413793103448276,9,19,0.47368421052631576,-0.23230490018148817,0.36842105,0.11035918,1.22993001,0.12369067,1.0
STATE_A,STATE_B,chr14q::gain,2,29,0.06896551724137931,0,19,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
STATE_A,STATE_B,chr15p::loss,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr15p::gain,0,29,0.0,0,19,0.0,0.0,0.66101695,0.01258192,34.72787596,1.0,1.0
STATE_A,STATE_B,chr15q::loss,0,29,0.0,1,19,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,0.39583333,1.0
STATE_A,STATE_B,chr15q::gain,2,29,0.06896551724137931,0,19,0.0,0.06896551724137931,3.54545455,0.161105,78.02518933,0.51152482,1.0
STATE_A,STATE_B,chr16p::loss,0,29,0.0,1,19,0.05263157894736842,-0.05263157894736842,0.20903955,0.0080809,5.40751147,0.39583333,1.0
