jaccard_threshold,overlap_threshold,relation_component_count,recurrent_relation_component_count,cohesive_family_count,cohesive_family_sizes
0.5,0.8,9,8,12,"[65, 40, 34, 32, 26, 23, 21, 20, 14, 13, 13, 12]"
0.5,1.0,23,6,8,"[40, 22, 21, 17, 16, 14, 13, 12]"
0.6666666666666666,0.8,15,9,12,"[65, 40, 33, 27, 25, 23, 22, 21, 20, 14, 13, 12]"
0.6666666666666666,1.0,24,7,9,"[40, 36, 22, 21, 17, 16, 14, 13, 12]"
0.75,0.8,24,5,6,"[40, 33, 21, 18, 13, 12]"
0.75,1.0,28,5,5,"[40, 17, 16, 13, 12]"
