threshold,core_count,core_patient_count,core_sizes
0.5,8,88,"[15, 15, 14, 11, 10, 9, 9, 5]"
0.6666666666666666,7,67,"[15, 14, 11, 9, 7, 6, 5]"
0.75,6,58,"[14, 14, 11, 9, 5, 5]"
0.8,6,58,"[14, 14, 11, 9, 5, 5]"
