threshold,core_count,core_patient_count,core_sizes
0.5,8,87,"[22, 14, 14, 12, 7, 7, 6, 5]"
0.6666666666666666,8,78,"[16, 14, 13, 12, 7, 6, 5, 5]"
0.75,5,54,"[13, 13, 11, 11, 6]"
0.8,5,54,"[13, 13, 11, 11, 6]"
