excluded_k,valid_run_count,primary_core_count,primary_core_patient_count,mean_matched_jaccard,min_matched_jaccard,matched_core_mean_jaccard,extra_core_count,missing_core_count
2,18,6,69,0.6582589285714285,0.0,0.8776785714285714,0,2
3,18,7,76,0.8348214285714286,0.0,0.9540816326530612,0,1
4,18,6,72,0.6544642857142857,0.0,0.8726190476190476,0,2
5,18,7,73,0.8188596491228071,0.0,0.9358395989974938,0,1
6,18,7,86,0.7138414217361586,0.0,0.815818767698467,0,1
7,18,8,89,0.5094280719280719,0.0,0.5094280719280719,0,0
8,18,9,90,0.5301587301587302,0.0,0.5964285714285714,1,0
