run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,112620
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,5,167618
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,229225
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,5,311952
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,5,400148
run1_K7,7,1,True,complete,review_complete,unavailable,2,5,75,4,488977
run1_K8,8,1,True,complete,review_complete,unavailable,2,7,100,4,594634
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,5,114131
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,4,164687
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,230168
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,5,311824
run2_K6,6,2,True,complete,review_complete,unavailable,2,5,84,5,770743
run2_K7,7,2,True,complete,review_complete,unavailable,2,7,103,5,495930
run2_K8,8,2,True,complete,review_complete,unavailable,2,7,100,4,594319
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,5,111977
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,5,170832
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,230633
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,5,318337
run3_K6,6,3,True,complete,review_complete,unavailable,2,6,103,4,394768
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,6,515612
run3_K8,8,3,True,complete,review_complete,unavailable,2,7,100,4,593316
