feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ATM,CORE01,CORE02,17,15,0,0,0.11764705882352941,0.0,0.11764705882352941,5.0,0.22145483,112.88983806,0.4858871,1.0
mutation::ATM,CORE01,CORE03,17,14,0,0,0.11764705882352941,0.0,0.11764705882352941,4.67741935,0.20660042,105.89645363,0.48817204,1.0
mutation::ATM,CORE01,CORE04,17,10,0,0,0.11764705882352941,0.0,0.11764705882352941,3.38709677,0.14721277,77.93090528,0.51566952,1.0
mutation::ATM,CORE01,CORE05,17,9,0,0,0.11764705882352941,0.0,0.11764705882352941,3.06451613,0.13237792,70.94279095,0.52923077,1.0
mutation::ATM,CORE01,CORE06,17,7,0,0,0.11764705882352941,0.0,0.11764705882352941,2.41935484,0.10273557,56.97420624,1.0,1.0
mutation::ATM,CORE01,CORE07,17,5,0,0,0.11764705882352941,0.6,-0.48235294117647054,0.11520737,0.01407862,0.94275849,0.05491,0.87856
mutation::ATM,CORE02,CORE03,15,14,0,0,0.0,0.0,0.0,0.93548387,0.01739521,50.30869347,1.0,1.0
mutation::ATM,CORE02,CORE04,15,10,0,0,0.0,0.0,0.0,0.67741935,0.01243826,36.89398165,1.0,1.0
mutation::ATM,CORE02,CORE05,15,9,0,0,0.0,0.0,0.0,0.61290323,0.01119962,33.54135353,1.0,1.0
mutation::ATM,CORE02,CORE06,15,7,0,0,0.0,0.0,0.0,0.48387097,0.00872369,26.8385476,1.0,1.0
mutation::ATM,CORE02,CORE07,15,5,0,0,0.0,0.6,-0.6,0.02304147,0.00089303,0.59450213,0.00877193,0.18421053
mutation::ATM,CORE03,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::ATM,CORE03,CORE05,14,9,0,0,0.0,0.0,0.0,0.65517241,0.01194648,35.93117382,1.0,1.0
