modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,estimable,,77,7,0.087478,1.118417,0.0017,9999,0.0017
wsi,estimable,,77,7,0.099209,1.28492,0.0001,9999,0.00012
rna,estimable,,77,7,0.126976,1.696851,0.0001,9999,0.00012
wxs,estimable,,77,7,0.236797,3.61979,0.0001,9999,0.00012
cnv,estimable,,77,7,0.110018,1.442209,0.0001,9999,0.00012
fused,estimable,,77,7,0.080264,1.018129,0.0001,9999,0.00012
