modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,7.874834,0.9768,9999,0,0.0,0.0,[],1.0
wsi,estimable,,2.855943,0.9964,9999,0,0.0,0.0,[],1.0
rna,estimable,,2.368142,1.0,9999,0,0.0,0.0,[],1.0
wxs,estimable,,170.963332,0.0001,9999,0,0.0,0.0,[],0.0006
cnv,estimable,,4.899797,0.9925,9999,0,0.0,0.0,[],1.0
fused,estimable,,16355.71601,1.0,9999,0,0.0,0.0,[],1.0
