feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared,clinical_variable,levels,chi_square,permutations
age,7,77,17;15;14;10;9;7;5,estimable,,1.87174269,0.93110824,0.93110824,0.0,,,,
,7,77,,,,,0.073,0.14325,,gender,female;male,11.28415811,9999
,7,77,,,,,0.0306,0.09179999999999999,,stage_group,I;II;III;IV,30.49447002,9999
,7,77,,,,,0.0123,0.0738,,t_stage,T1;T1a;T1b;T2;T2a;T2b;T3a;T3b;T4,71.20520243,9999
,7,73,,,,,0.1639,0.19668,,m_stage,M0;M1,9.03265607,9999
,7,77,,,,,0.0955,0.14325,,grade,G2;G3;G4,18.51380987,9999
