clinical_variable,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,levels,chi_square,p_value,p_adjusted_holm,permutations
stage_group,CORE01,CORE02,21,14,0,0,I;II;III;IV,16.13839286,0.0007,0.0042,9999
stage_group,CORE01,CORE03,21,12,0,0,I;II;III;IV,7.22576531,0.0588,0.2352,9999
stage_group,CORE01,CORE04,21,9,0,0,I;II;III;IV,1.32034632,0.9193,0.9193,9999
stage_group,CORE02,CORE03,14,12,0,0,I;II;III;IV,2.46071429,0.4371,0.8742,9999
stage_group,CORE02,CORE04,14,9,0,0,I;II;III;IV,12.29404762,0.0039,0.0195,9999
stage_group,CORE03,CORE04,12,9,0,0,I;II;III;IV,6.09583333,0.1107,0.3321,9999
