feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,7,77,17;15;14;10;9;7;5,estimable,,9.57929223,0.14352381,0.22892692,0.05113275
HALLMARK_ALLOGRAFT_REJECTION,7,77,17;15;14;10;9;7;5,estimable,,22.90584635,0.00082863,0.01542788,0.24151209
HALLMARK_ANDROGEN_RESPONSE,7,77,17;15;14;10;9;7;5,estimable,,15.53364432,0.01648848,0.0549616,0.13619492
HALLMARK_ANGIOGENESIS,7,77,17;15;14;10;9;7;5,estimable,,16.11304326,0.01315991,0.05109123,0.14447205
HALLMARK_APICAL_JUNCTION,7,77,17;15;14;10;9;7;5,estimable,,10.46798636,0.10627767,0.18843126,0.06382838
HALLMARK_APICAL_SURFACE,7,77,17;15;14;10;9;7;5,estimable,,3.73715342,0.71219595,0.74187078,0.0
HALLMARK_APOPTOSIS,7,77,17;15;14;10;9;7;5,estimable,,5.70224994,0.45735665,0.51972347,0.0
HALLMARK_BILE_ACID_METABOLISM,7,77,17;15;14;10;9;7;5,estimable,,5.22996201,0.51467521,0.57186134,0.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,7,77,17;15;14;10;9;7;5,estimable,,9.74415762,0.13584783,0.22641305,0.05348797
HALLMARK_COAGULATION,7,77,17;15;14;10;9;7;5,estimable,,12.00410719,0.06187724,0.14676516,0.08577296
HALLMARK_COMPLEMENT,7,77,17;15;14;10;9;7;5,estimable,,11.88531804,0.06457667,0.14676516,0.08407597
HALLMARK_DNA_REPAIR,7,77,17;15;14;10;9;7;5,estimable,,12.87746576,0.0450236,0.12431568,0.09824951
HALLMARK_E2F_TARGETS,7,77,17;15;14;10;9;7;5,estimable,,6.95700136,0.32484202,0.41646413,0.01367145
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7,77,17;15;14;10;9;7;5,estimable,,11.3865757,0.07713881,0.16070585,0.07695108
HALLMARK_ESTROGEN_RESPONSE_EARLY,7,77,17;15;14;10;9;7;5,estimable,,4.55338872,0.60222831,0.65459599,0.0
HALLMARK_ESTROGEN_RESPONSE_LATE,7,77,17;15;14;10;9;7;5,estimable,,1.9545379,0.92383187,0.92383187,0.0
HALLMARK_FATTY_ACID_METABOLISM,7,77,17;15;14;10;9;7;5,estimable,,10.39556074,0.10895231,0.18843126,0.06279372
HALLMARK_G2M_CHECKPOINT,7,77,17;15;14;10;9;7;5,estimable,,7.93555184,0.24286308,0.33102705,0.02765074
HALLMARK_GLYCOLYSIS,7,77,17;15;14;10;9;7;5,estimable,,9.51717246,0.14651323,0.22892692,0.05024532
HALLMARK_HEDGEHOG_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,22.60401839,0.00094055,0.01542788,0.23720026
HALLMARK_HEME_METABOLISM,7,77,17;15;14;10;9;7;5,estimable,,21.9541952,0.00123423,0.01542788,0.22791707
HALLMARK_HYPOXIA,7,77,17;15;14;10;9;7;5,estimable,,11.54406583,0.07294814,0.15858291,0.07920094
HALLMARK_IL2_STAT5_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,3.15581207,0.78905208,0.80515518,0.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,20.70971867,0.00206838,0.0163345,0.21013884
HALLMARK_INFLAMMATORY_RESPONSE,7,77,17;15;14;10;9;7;5,estimable,,12.78299516,0.04661439,0.12431568,0.09689993
HALLMARK_INTERFERON_ALPHA_RESPONSE,7,77,17;15;14;10;9;7;5,estimable,,20.46611969,0.00228683,0.0163345,0.20665885
HALLMARK_INTERFERON_GAMMA_RESPONSE,7,77,17;15;14;10;9;7;5,estimable,,16.08908384,0.01328372,0.05109123,0.14412977
HALLMARK_KRAS_SIGNALING_DN,7,77,17;15;14;10;9;7;5,estimable,,12.74666995,0.04723996,0.12431568,0.096381
HALLMARK_KRAS_SIGNALING_UP,7,77,17;15;14;10;9;7;5,estimable,,6.67696393,0.35175681,0.43969601,0.00967091
HALLMARK_MITOTIC_SPINDLE,7,77,17;15;14;10;9;7;5,estimable,,7.90748299,0.24496002,0.33102705,0.02724976
HALLMARK_MTORC1_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,8.2867922,0.2178361,0.32034721,0.03266846
HALLMARK_MYC_TARGETS_V1,7,77,17;15;14;10;9;7;5,estimable,,6.35454387,0.38466734,0.45793731,0.00506491
HALLMARK_MYC_TARGETS_V2,7,77,17;15;14;10;9;7;5,estimable,,15.58561924,0.01615967,0.0549616,0.13693742
HALLMARK_MYOGENESIS,7,77,17;15;14;10;9;7;5,estimable,,17.46526564,0.00771716,0.0385858,0.16378951
HALLMARK_NOTCH_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,20.05559035,0.002707,0.01691875,0.20079415
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7,77,17;15;14;10;9;7;5,estimable,,6.25212099,0.39554819,0.45993976,0.00360173
HALLMARK_P53_PATHWAY,7,77,17;15;14;10;9;7;5,estimable,,6.57148715,0.3622976,0.44182634,0.0081641
HALLMARK_PANCREAS_BETA_CELLS,7,77,17;15;14;10;9;7;5,estimable,,34.39117073,5.65e-06,0.0002825,0.40558815
HALLMARK_PEROXISOME,7,77,17;15;14;10;9;7;5,estimable,,8.01949516,0.23667852,0.33102705,0.02884993
HALLMARK_PI3K_AKT_MTOR_SIGNALING,7,77,17;15;14;10;9;7;5,estimable,,7.18897909,0.30372371,0.39963646,0.01698542
HALLMARK_PROTEIN_SECRETION,7,77,17;15;14;10;9;7;5,estimable,,8.97825069,0.17480494,0.26485597,0.04254644
