feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr1p::loss,4,56,0,3,56,estimable,16.55345912,0.0024,0.06528,9999
chr1p::gain,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr1q::loss,4,56,0,3,56,estimable,16.55345912,0.0032,0.06528,9999
chr1q::gain,4,56,0,3,56,estimable,0.82180294,1.0,1.0,9999
chr2p::loss,4,56,0,2,56,estimable,10.83127572,0.0272,0.10275556,9999
chr2p::gain,4,56,0,2,56,estimable,6.22222222,0.1253,0.267325,9999
chr2q::loss,4,56,0,2,56,estimable,10.83127572,0.0231,0.09846923,9999
chr2q::gain,4,56,0,1,56,estimable,1.6969697,1.0,1.0,9999
chr3p::loss,4,56,0,40,56,estimable,10.22777778,0.0135,0.09846923,9999
chr3p::gain,4,56,0,2,56,estimable,10.83127572,0.0212,0.09846923,9999
chr3q::loss,4,56,0,7,56,estimable,6.9478458,0.0647,0.17209231,9999
chr3q::gain,4,56,0,3,56,estimable,7.00489168,0.059,0.16623243,9999
chr4p::loss,4,56,0,3,56,estimable,4.10901468,0.3122,0.56865,9999
chr4p::gain,4,56,0,2,56,estimable,10.83127572,0.0224,0.09846923,9999
chr4q::loss,4,56,0,1,56,estimable,3.05454545,0.6315,0.94725,9999
chr4q::gain,4,56,0,2,56,estimable,10.83127572,0.0211,0.09846923,9999
chr5p::loss,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr5p::gain,4,56,0,13,56,estimable,1.59173127,0.675,0.99782609,9999
chr5q::loss,4,56,0,1,56,estimable,3.05454545,0.614,0.94725,9999
chr5q::gain,4,56,0,20,56,estimable,2.35061728,0.5311,0.85987619,9999
chr6p::loss,4,56,0,7,56,estimable,11.62811791,0.0097,0.09846923,9999
chr6p::gain,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr6q::loss,4,56,0,8,56,estimable,7.29166667,0.0603,0.16623243,9999
chr6q::gain,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr7p::loss,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr7p::gain,4,56,0,12,56,estimable,6.5993266,0.0777,0.1887,9999
chr7q::loss,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
chr7q::gain,4,56,0,12,56,estimable,10.55892256,0.0103,0.09846923,9999
chr8p::loss,4,56,0,8,56,estimable,10.24074074,0.0135,0.09846923,9999
chr8p::gain,4,56,0,2,56,estimable,3.22633745,0.4112,0.69904,9999
chr8q::loss,4,56,0,4,56,estimable,12.02564103,0.0078,0.09846923,9999
chr8q::gain,4,56,0,3,56,estimable,7.00489168,0.0548,0.16623243,9999
