modality,group_a,group_b,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,CORE01,CORE02,estimable,,2.259619,0.2399,9999,0,0.0,0.0,[],0.9956
ct,CORE01,CORE03,estimable,,3.04401,0.4006,9999,0,0.0,0.0,[],0.9956
ct,CORE01,CORE04,estimable,,19.059139,0.8098,9999,0,0.0,0.0,[],0.9956
ct,CORE01,CORE05,estimable,,29.672201,0.8229,9999,0,0.0,0.0,[],0.9956
ct,CORE01,CORE06,estimable,,10.453565,0.9878,9999,0,0.0,0.0,[],0.9956
ct,CORE01,CORE07,estimable,,60.785215,0.9716,9999,0,0.0,0.0,[],0.9956
ct,CORE02,CORE03,estimable,,0.018368,0.8958,9999,0,0.0,0.0,[],0.9956
ct,CORE02,CORE04,estimable,,4.716725,0.9428,9999,0,0.0,0.0,[],0.9956
ct,CORE02,CORE05,estimable,,9.453749,0.8356,9999,0,0.0,0.0,[],0.9956
ct,CORE02,CORE06,estimable,,6.996755,0.3782,9999,0,0.0,0.0,[],0.9956
ct,CORE02,CORE07,estimable,,33.612618,0.9956,9999,0,0.0,0.0,[],0.9956
ct,CORE03,CORE04,estimable,,9.800513,0.2593,9999,0,0.0,0.0,[],0.9956
ct,CORE03,CORE05,estimable,,19.092277,0.1577,9999,0,0.0,0.0,[],0.9956
ct,CORE03,CORE06,estimable,,7.014034,0.6463,9999,0,0.0,0.0,[],0.9956
ct,CORE03,CORE07,estimable,,48.111896,0.6455,9999,0,0.0,0.0,[],0.9956
ct,CORE04,CORE05,estimable,,1.294943,0.4023,9999,0,0.0,0.0,[],0.9956
ct,CORE04,CORE06,estimable,,2.902023,0.5886,9999,0,0.0,0.0,[],0.9956
ct,CORE04,CORE07,estimable,,19.65059,0.9782,9999,0,0.0,0.0,[],0.9956
ct,CORE05,CORE06,estimable,,1.924038,0.5243,9999,0,0.0,0.0,[],0.9956
ct,CORE05,CORE07,estimable,,13.176949,0.8613,9999,0,0.0,0.0,[],0.9956
ct,CORE06,CORE07,estimable,,0.00137,0.9805,9999,0,0.0,0.0,[],0.9956
wsi,CORE01,CORE02,estimable,,5.377241,0.0086,9999,0,0.0,0.0,[],0.04578
wsi,CORE01,CORE03,estimable,,1.463052,0.253,9999,0,0.0,0.0,[],0.759
wsi,CORE01,CORE04,estimable,,0.081816,0.8301,9999,0,0.0,0.0,[],0.9838
wsi,CORE01,CORE05,estimable,,0.008899,0.962,9999,0,0.0,0.0,[],0.9838
wsi,CORE01,CORE06,estimable,,0.1342,0.923,9999,0,0.0,0.0,[],0.9838
wsi,CORE01,CORE07,estimable,,0.59027,0.9838,9999,0,0.0,0.0,[],0.9838
wsi,CORE02,CORE03,estimable,,6.779971,0.0109,9999,0,0.0,0.0,[],0.04578
wsi,CORE02,CORE04,estimable,,17.982198,0.0093,9999,0,0.0,0.0,[],0.04578
wsi,CORE02,CORE05,estimable,,15.312256,0.0234,9999,0,0.0,0.0,[],0.0819
wsi,CORE02,CORE06,estimable,,39.509321,0.2911,9999,0,0.0,0.0,[],0.7641375
wsi,CORE02,CORE07,estimable,,139.352371,0.0053,9999,0,0.0,0.0,[],0.04578
wsi,CORE03,CORE04,estimable,,2.380741,0.4694,9999,0,0.0,0.0,[],0.81043846
wsi,CORE03,CORE05,estimable,,3.553395,0.4043,9999,0,0.0,0.0,[],0.81043846
wsi,CORE03,CORE06,estimable,,2.025757,0.983,9999,0,0.0,0.0,[],0.9838
wsi,CORE03,CORE07,estimable,,17.949646,0.4509,9999,0,0.0,0.0,[],0.81043846
wsi,CORE04,CORE05,estimable,,0.302768,0.4774,9999,0,0.0,0.0,[],0.81043846
wsi,CORE04,CORE06,estimable,,0.074123,0.9428,9999,0,0.0,0.0,[],0.9838
wsi,CORE04,CORE07,estimable,,5.323845,0.5017,9999,0,0.0,0.0,[],0.81043846
wsi,CORE05,CORE06,estimable,,0.561017,0.647,9999,0,0.0,0.0,[],0.9705
wsi,CORE05,CORE07,estimable,,1.306164,0.814,9999,0,0.0,0.0,[],0.9838
wsi,CORE06,CORE07,estimable,,54.241313,0.0108,9999,0,0.0,0.0,[],0.04578
rna,CORE01,CORE02,estimable,,1.074608,0.3116,9999,0,0.0,0.0,[],0.9897
rna,CORE01,CORE03,estimable,,0.043852,0.8633,9999,0,0.0,0.0,[],0.9897
rna,CORE01,CORE04,estimable,,0.07369,0.9524,9999,0,0.0,0.0,[],0.9897
