modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
rna,CORE03,CORE05,14,9,estimable,,23,2,0.07342,1.663997,0.0007,9999,0.00133636
rna,CORE03,CORE06,14,7,estimable,,21,2,0.072593,1.487233,0.0033,9999,0.005775
rna,CORE03,CORE07,14,5,estimable,,19,2,0.084856,1.576307,0.0003,9999,0.0007
rna,CORE04,CORE05,10,9,estimable,,19,2,0.078664,1.451462,0.008,9999,0.012
rna,CORE04,CORE06,10,7,estimable,,17,2,0.095279,1.579694,0.0004,9999,0.00084
rna,CORE04,CORE07,10,5,estimable,,15,2,0.08714,1.240959,0.024,9999,0.0315
rna,CORE05,CORE06,9,7,estimable,,16,2,0.075468,1.142799,0.116,9999,0.116
rna,CORE05,CORE07,9,5,estimable,,14,2,0.088169,1.160334,0.0902,9999,0.09471
rna,CORE06,CORE07,7,5,estimable,,12,2,0.104377,1.165416,0.0715,9999,0.07902632
wxs,CORE01,CORE02,17,15,estimable,,32,2,0.104973,3.518532,0.0001,9999,0.00021
wxs,CORE01,CORE03,17,14,estimable,,31,2,0.100194,3.229155,0.0001,9999,0.00021
wxs,CORE01,CORE04,17,10,estimable,,27,2,0.050264,1.323099,0.1327,9999,0.14666842
wxs,CORE01,CORE05,17,9,estimable,,26,2,0.067175,1.728292,0.0107,9999,0.01321765
wxs,CORE01,CORE06,17,7,estimable,,24,2,0.257684,7.63697,0.0001,9999,0.00021
wxs,CORE01,CORE07,17,5,estimable,,22,2,0.033916,0.70213,0.8339,9999,0.8339
wxs,CORE02,CORE03,15,14,estimable,,29,2,0.129181,4.005283,0.0001,9999,0.00021
wxs,CORE02,CORE04,15,10,estimable,,25,2,0.128087,3.37877,0.0001,9999,0.00021
wxs,CORE02,CORE05,15,9,estimable,,24,2,0.109717,2.711231,0.0001,9999,0.00021
wxs,CORE02,CORE06,15,7,estimable,,22,2,0.360561,11.277433,0.0001,9999,0.00021
wxs,CORE02,CORE07,15,5,estimable,,20,2,0.110022,2.225209,0.0004,9999,0.0006
wxs,CORE03,CORE04,14,10,estimable,,24,2,0.121619,3.046086,0.0001,9999,0.00021
wxs,CORE03,CORE05,14,9,estimable,,23,2,0.101247,2.365714,0.0004,9999,0.0006
wxs,CORE03,CORE06,14,7,estimable,,21,2,0.359031,10.642597,0.0001,9999,0.00021
wxs,CORE03,CORE07,14,5,estimable,,19,2,0.108864,2.076768,0.0072,9999,0.00945
wxs,CORE04,CORE05,10,9,estimable,,19,2,0.099051,1.868998,0.0001,9999,0.00021
wxs,CORE04,CORE06,10,7,estimable,,17,2,0.39541,9.810201,0.0002,9999,0.00035
wxs,CORE04,CORE07,10,5,estimable,,15,2,0.083298,1.181272,0.2408,9999,0.25284
wxs,CORE05,CORE06,9,7,estimable,,16,2,0.387567,8.859638,0.0002,9999,0.00035
wxs,CORE05,CORE07,9,5,estimable,,14,2,0.100063,1.334273,0.0235,9999,0.02741667
wxs,CORE06,CORE07,7,5,estimable,,12,2,0.496571,9.863768,0.0013,9999,0.00182
