feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
mutation::ARID1A,7,77,0,2,77,estimable,5.16185185,0.4977,0.57628421,9999
mutation::ATM,7,77,0,5,77,estimable,28.17294118,0.0005,0.00264,9999
mutation::BAP1,7,77,0,12,77,estimable,41.68420228,0.0001,0.00073333,9999
mutation::CDKN2A,7,77,0,0,77,estimable,0.0,1.0,1.0,9999
mutation::DST,7,77,0,5,77,estimable,21.97267974,0.0023,0.00722857,9999
mutation::ELOC,7,77,0,0,77,estimable,0.0,1.0,1.0,9999
mutation::FLG,7,77,0,4,77,estimable,7.60917047,0.2336,0.34261333,9999
mutation::KDM5C,7,77,0,5,77,estimable,7.8421732,0.2309,0.34261333,9999
mutation::KMT2C,7,77,0,1,77,estimable,6.78815789,0.4029,0.5214,9999
mutation::LYST,7,77,0,3,77,estimable,5.69848967,0.4628,0.56564444,9999
mutation::MTOR,7,77,0,4,77,estimable,15.40878995,0.027,0.07425,9999
mutation::MUC16,7,77,0,7,77,estimable,8.12490196,0.2288,0.34261333,9999
mutation::PBRM1,7,77,0,29,77,estimable,47.59107317,0.0001,0.00073333,9999
mutation::PIK3CA,7,77,0,3,77,estimable,23.58558559,0.0006,0.00264,9999
mutation::PTEN,7,77,0,5,77,estimable,24.90058097,0.0021,0.00722857,9999
mutation::SETD2,7,77,0,3,77,estimable,6.75829948,0.2972,0.40865,9999
mutation::SPTA1,7,77,0,4,77,estimable,10.86438356,0.0638,0.131,9999
mutation::TP53,7,77,0,2,77,estimable,8.48711111,0.2022,0.34261333,9999
mutation::TSC1,7,77,0,1,77,estimable,14.58947368,0.0655,0.131,9999
mutation::TSC2,7,77,0,0,77,estimable,0.0,1.0,1.0,9999
mutation::TTN,7,77,0,6,77,estimable,11.76418423,0.0556,0.131,9999
mutation::VHL,7,77,0,40,77,estimable,28.94049285,0.0001,0.00073333,9999
