feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-1-0-mm-3D_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,11.35321205,0.07805446,0.27012105,0.07647446
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,7,77,17;15;14;10;9;7;5,estimable,,15.03445723,0.0199904,0.18499287,0.12906367
log-sigma-1-0-mm-3D_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,4.43966342,0.61740094,0.76374942,0.0
log-sigma-1-0-mm-3D_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,11.89398221,0.06437616,0.24180314,0.08419975
log-sigma-1-0-mm-3D_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,4.16127719,0.65486151,0.79096998,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,5.17205689,0.52194269,0.71132013,0.0
log-sigma-1-0-mm-3D_firstorder_Range,7,77,17;15;14;10;9;7;5,estimable,,8.90654089,0.17890277,0.3990052,0.04152201
log-sigma-1-0-mm-3D_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,4.37853892,0.62559246,0.76765927,0.0
log-sigma-1-0-mm-3D_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,16.76068022,0.01020421,0.18499287,0.153724
log-sigma-1-0-mm-3D_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,9.34261854,0.15520646,0.36771992,0.04775169
log-sigma-1-0-mm-3D_glcm_MCC,7,77,17;15;14;10;9;7;5,estimable,,15.47360259,0.01687631,0.18499287,0.13533718
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.00516775,0.12443456,0.34219504,0.05721668
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,9.52477756,0.14614434,0.36300368,0.05035397
log-sigma-1-0-mm-3D_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,16.21810104,0.01262999,0.18499287,0.14597287
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,6.32880602,0.38738242,0.60378393,0.00469723
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,8.75705005,0.18770946,0.40714446,0.03938643
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,9.21874932,0.16164436,0.37717017,0.04598213
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,7.9262894,0.24355344,0.47178905,0.02751842
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,14.26561058,0.02680586,0.18499287,0.11808015
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,11.03045679,0.08743968,0.28958518,0.07186367
log-sigma-1-0-mm-3D_glszm_ZonePercentage,7,77,17;15;14;10;9;7;5,estimable,,3.07673204,0.79915638,0.88859265,0.0
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,6.44351279,0.37538167,0.59291054,0.0063359
log-sigma-1-0-mm-3D_gldm_DependenceVariance,7,77,17;15;14;10;9;7;5,estimable,,6.293122,0.39116803,0.60378393,0.00418746
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,6.03089441,0.41973819,0.61856154,0.00044135
log-sigma-2-0-mm-3D_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,18.28800641,0.00555135,0.14492478,0.17554295
log-sigma-2-0-mm-3D_firstorder_90Percentile,7,77,17;15;14;10;9;7;5,estimable,,14.65020414,0.02315897,0.18499287,0.12357434
log-sigma-2-0-mm-3D_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,12.64255893,0.04907665,0.2272119,0.0948937
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,7,77,17;15;14;10;9;7;5,estimable,,20.87882258,0.00192888,0.11143308,0.21255461
log-sigma-2-0-mm-3D_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,12.01715912,0.0615871,0.24180314,0.08595942
log-sigma-2-0-mm-3D_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,9.68618328,0.13850487,0.35848319,0.05265976
log-sigma-2-0-mm-3D_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,13.96484747,0.03003131,0.18499287,0.11378354
log-sigma-2-0-mm-3D_firstorder_Range,7,77,17;15;14;10;9;7;5,estimable,,14.27814744,0.02667882,0.18499287,0.11825925
log-sigma-2-0-mm-3D_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,7.76209841,0.25605587,0.47421602,0.02517283
