case_id,duplicate_gene_names,error,file_path,protein_coding_duplicate_row_count,unique_gene_count
TCGA-B0-4698,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/ab718baf-6521-4738-a8cc-44b7fabf4be1/34b926af-5184-4ded-885a-5455aa85d212.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-4712,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/7f16d20f-07e2-4901-ae00-4da70125e8a3/0cf6e899-af6e-44ac-a6c7-5f3fa68ea255.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-4821,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/ba209e1e-87f1-47a9-a858-d60953ef4528/28089de8-830d-4774-937f-97d6dd7cfa0a.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5077,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/a1f29e81-e426-4cc5-813b-fcf83a595303/43fa77f1-48e8-4d05-b726-e8cb8e2a5a37.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5081,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/164a6eaa-7f88-4687-a7e1-b907c468766e/4b04816b-80fa-410b-95d7-9b1f815b59e7.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5085,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/915bec49-700e-44fc-af01-e96ab507aab3/3e8b587b-10c9-4e13-b4b9-c10dc8239ff8.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5088,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/52258ebc-d3ba-4795-83c9-6457386fea2b/4ab7d102-f5eb-4922-be66-9b516bebaf0a.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5099,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/ace1e7fa-7e2f-4bcc-a2cb-afb7f321ec1d/3ea7f9db-1aa9-4092-9761-b17df393ecf9.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5106,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/f4fbf55a-1a2a-458e-9223-921e2dc9352e/ceaa441a-68be-499e-8ff5-9b4187c9e1ae.rna_seq.augmented_star_gene_counts.tsv,48,19938
TCGA-B0-5110,ACTL10|AKAP17A|ASMT|ASMTL|CD99|CRLF2|CSF2RA|DHRSX|GTPBP6|IL3RA|IL9R|MATR3|P2RY8|PDE11A|PLCXD1|POLR2J3|PPP2R3B|SHOX|SLC25A6|SMIM40|TMSB15B|VAMP7|WASH6P|ZBED1,,/data/qijun/data/TCGA/KIRC/RNA-seq/a34f90d2-32b4-44e7-a820-07f3d48823ce/862104a6-f318-4617-8ddb-72c767394ce5.rna_seq.augmented_star_gene_counts.tsv,48,19938
