cluster,count,field,level,partition
5,0,phase_group,DEL,consensus_labels_k6
5,1,phase_group,NC,consensus_labels_k6
5,0,phase_group,NEPH,consensus_labels_k6
5,4,phase_group,OTHER_CE,consensus_labels_k6
5,8,phase_group,UNKNOWN,consensus_labels_k6
0,0,phase_group,ART,consensus_labels_k7
0,1,phase_group,DEL,consensus_labels_k7
0,2,phase_group,NC,consensus_labels_k7
0,0,phase_group,NEPH,consensus_labels_k7
0,0,phase_group,OTHER_CE,consensus_labels_k7
0,6,phase_group,UNKNOWN,consensus_labels_k7
1,0,phase_group,ART,consensus_labels_k7
1,1,phase_group,DEL,consensus_labels_k7
1,6,phase_group,NC,consensus_labels_k7
1,0,phase_group,NEPH,consensus_labels_k7
1,0,phase_group,OTHER_CE,consensus_labels_k7
1,3,phase_group,UNKNOWN,consensus_labels_k7
2,1,phase_group,ART,consensus_labels_k7
2,1,phase_group,DEL,consensus_labels_k7
2,0,phase_group,NC,consensus_labels_k7
2,0,phase_group,NEPH,consensus_labels_k7
2,1,phase_group,OTHER_CE,consensus_labels_k7
2,11,phase_group,UNKNOWN,consensus_labels_k7
3,0,phase_group,ART,consensus_labels_k7
3,4,phase_group,DEL,consensus_labels_k7
3,1,phase_group,NC,consensus_labels_k7
3,0,phase_group,NEPH,consensus_labels_k7
3,1,phase_group,OTHER_CE,consensus_labels_k7
3,8,phase_group,UNKNOWN,consensus_labels_k7
4,2,phase_group,ART,consensus_labels_k7
4,13,phase_group,DEL,consensus_labels_k7
4,1,phase_group,NC,consensus_labels_k7
4,0,phase_group,NEPH,consensus_labels_k7
4,0,phase_group,OTHER_CE,consensus_labels_k7
4,2,phase_group,UNKNOWN,consensus_labels_k7
5,4,phase_group,ART,consensus_labels_k7
5,0,phase_group,DEL,consensus_labels_k7
5,1,phase_group,NC,consensus_labels_k7
5,0,phase_group,NEPH,consensus_labels_k7
5,4,phase_group,OTHER_CE,consensus_labels_k7
5,7,phase_group,UNKNOWN,consensus_labels_k7
6,4,phase_group,ART,consensus_labels_k7
6,4,phase_group,DEL,consensus_labels_k7
6,1,phase_group,NC,consensus_labels_k7
6,1,phase_group,NEPH,consensus_labels_k7
6,0,phase_group,OTHER_CE,consensus_labels_k7
6,11,phase_group,UNKNOWN,consensus_labels_k7
0,0,phase_group,ART,consensus_labels_k8
0,2,phase_group,DEL,consensus_labels_k8
0,2,phase_group,NC,consensus_labels_k8
0,0,phase_group,NEPH,consensus_labels_k8
0,0,phase_group,OTHER_CE,consensus_labels_k8
0,6,phase_group,UNKNOWN,consensus_labels_k8
1,0,phase_group,ART,consensus_labels_k8
1,0,phase_group,DEL,consensus_labels_k8
1,0,phase_group,NC,consensus_labels_k8
1,0,phase_group,NEPH,consensus_labels_k8
1,1,phase_group,OTHER_CE,consensus_labels_k8
1,7,phase_group,UNKNOWN,consensus_labels_k8
2,0,phase_group,ART,consensus_labels_k8
2,1,phase_group,DEL,consensus_labels_k8
2,6,phase_group,NC,consensus_labels_k8
2,0,phase_group,NEPH,consensus_labels_k8
2,0,phase_group,OTHER_CE,consensus_labels_k8
2,3,phase_group,UNKNOWN,consensus_labels_k8
3,2,phase_group,ART,consensus_labels_k8
3,2,phase_group,DEL,consensus_labels_k8
3,1,phase_group,NC,consensus_labels_k8
3,0,phase_group,NEPH,consensus_labels_k8
3,0,phase_group,OTHER_CE,consensus_labels_k8
3,5,phase_group,UNKNOWN,consensus_labels_k8
4,0,phase_group,ART,consensus_labels_k8
4,4,phase_group,DEL,consensus_labels_k8
4,1,phase_group,NC,consensus_labels_k8
4,0,phase_group,NEPH,consensus_labels_k8
4,1,phase_group,OTHER_CE,consensus_labels_k8
4,8,phase_group,UNKNOWN,consensus_labels_k8
5,3,phase_group,ART,consensus_labels_k8
5,0,phase_group,DEL,consensus_labels_k8
5,1,phase_group,NC,consensus_labels_k8
5,0,phase_group,NEPH,consensus_labels_k8
5,4,phase_group,OTHER_CE,consensus_labels_k8
5,7,phase_group,UNKNOWN,consensus_labels_k8
6,1,phase_group,ART,consensus_labels_k8
6,12,phase_group,DEL,consensus_labels_k8
6,1,phase_group,NC,consensus_labels_k8
6,0,phase_group,NEPH,consensus_labels_k8
6,0,phase_group,OTHER_CE,consensus_labels_k8
6,2,phase_group,UNKNOWN,consensus_labels_k8
7,5,phase_group,ART,consensus_labels_k8
7,3,phase_group,DEL,consensus_labels_k8
7,0,phase_group,NC,consensus_labels_k8
7,1,phase_group,NEPH,consensus_labels_k8
7,0,phase_group,OTHER_CE,consensus_labels_k8
7,10,phase_group,UNKNOWN,consensus_labels_k8
