initial_k,ari_recomputed_vs_original,nmi_recomputed_vs_original
2,0.9228222,0.87571651
3,1.0,1.0
4,0.97238879,0.96922864
5,0.95153361,0.94981189
6,0.71298651,0.79887626
7,0.86213634,0.90266259
8,1.0,1.0
