view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
minus_WSI,CORE01,K2,0.34693878,0.94444444,0.94444444,0.35416667,0.75170069,-0.11459968
minus_WSI,CORE01,K3,0.38636364,0.94444444,0.94444444,0.39534884,0.75126264,-0.12792207
minus_WSI,CORE01,K4,0.27777778,0.55555556,0.55555556,0.35714286,0.50925926,-0.26767677
minus_WSI,CORE01,K5,0.27272727,0.5,0.5,0.375,0.48484848,-0.28977273
minus_WSI,CORE01,K6,0.37931034,0.61111111,0.61111111,0.5,0.40038314,-0.56805808
minus_WSI,CORE01,K7,0.51851852,0.77777778,0.77777778,0.60869565,0.61002179,-0.33148148
minus_WSI,CORE01,K8,0.51851852,0.77777778,0.77777778,0.60869565,0.71296296,-0.20875421
minus_WSI,CORE02,K2,0.23214286,0.92857143,0.92857143,0.23636364,1.0612245,0.01339286
minus_WSI,CORE02,K3,0.25,0.57142857,0.57142857,0.30769231,0.75000001,-0.08333333
minus_WSI,CORE02,K4,0.3,0.64285714,0.64285714,0.36,0.62142857,-0.18275862
minus_WSI,CORE02,K5,0.32142857,0.64285714,0.64285714,0.39130435,0.48214285,-0.3452381
minus_WSI,CORE02,K6,0.33333333,0.64285714,0.64285714,0.40909091,0.53846153,-0.28571429
minus_WSI,CORE02,K7,0.38235294,0.92857143,0.92857143,0.39393939,0.38235294,-0.61764706
minus_WSI,CORE02,K8,0.31818182,0.5,0.5,0.46666667,0.36713287,-0.54848485
minus_WSI,CORE03,K2,0.22916667,1.0,1.0,0.22916667,1.04398147,0.00965447
minus_WSI,CORE03,K3,0.15384615,0.54545455,0.54545455,0.17647059,0.48951048,-0.16043956
minus_WSI,CORE03,K4,0.36666667,1.0,1.0,0.36666667,1.10000002,0.03333334
minus_WSI,CORE03,K5,0.37037037,0.90909091,0.90909091,0.38461538,1.07744108,0.02662037
minus_WSI,CORE03,K6,0.47058824,0.72727273,0.72727273,0.57142857,0.64171124,-0.26274509
minus_WSI,CORE03,K7,0.5,0.85714286,0.54545455,0.85714286,0.54545454,-0.41666667
minus_WSI,CORE03,K8,0.41666667,0.83333333,0.45454545,0.83333333,0.49242424,-0.42948718
minus_WSI,CORE04,K2,0.2,1.0,1.0,0.2,1.16363636,0.028125
minus_WSI,CORE04,K3,0.25,0.81818182,0.81818182,0.26470588,1.49999997,0.08333333
minus_WSI,CORE04,K4,0.29166667,0.63636364,0.63636364,0.35,1.65277778,0.11519608
minus_WSI,CORE04,K5,0.47619048,0.90909091,0.90909091,0.5,0.60606061,-0.30952381
minus_WSI,CORE04,K6,0.55555556,0.90909091,0.90909091,0.58823529,0.60606061,-0.36111111
minus_WSI,CORE04,K7,0.58333333,0.875,0.63636364,0.875,0.79545454,-0.15
minus_WSI,CORE04,K8,0.53846154,0.77777778,0.63636364,0.77777778,0.53846154,-0.46153846
minus_WSI,CORE05,K2,0.09090909,1.0,1.0,0.09090909,1.16363635,0.01278409
minus_WSI,CORE05,K3,0.19230769,1.0,1.0,0.19230769,2.05128203,0.09855769
minus_WSI,CORE05,K4,0.2,1.0,1.0,0.2,1.16000002,0.02758621
minus_WSI,CORE05,K5,0.2173913,1.0,1.0,0.2173913,0.91304345,-0.02070394
minus_WSI,CORE05,K6,0.22727273,1.0,1.0,0.22727273,0.90909092,-0.02272727
minus_WSI,CORE05,K7,0.15151515,1.0,1.0,0.15151515,0.27272727,-0.40404041
minus_WSI,CORE05,K8,0.38461538,1.0,1.0,0.38461538,0.96153845,-0.01538462
minus_CT,CORE01,K2,0.43589744,0.94444444,0.94444444,0.44736842,0.94444446,-0.02564102
minus_CT,CORE01,K3,0.59259259,0.88888889,0.88888889,0.64,1.15226338,0.07830688
minus_CT,CORE01,K4,0.5483871,0.94444444,0.94444444,0.56666667,1.00537634,0.00293255
minus_CT,CORE01,K5,0.5,0.88888889,0.88888889,0.53333333,0.88888889,-0.0625
minus_CT,CORE01,K6,0.72727273,0.88888889,0.88888889,0.8,0.76767677,-0.22009569
minus_CT,CORE01,K7,0.72727273,0.88888889,0.88888889,0.8,0.85561498,-0.12272727
minus_CT,CORE01,K8,0.76190476,0.88888889,0.88888889,0.84210526,1.04761904,0.03463203
minus_CT,CORE02,K2,0.1969697,0.92857143,0.92857143,0.2,0.90043291,-0.0217803
minus_CT,CORE02,K3,0.25531915,0.85714286,0.85714286,0.26666667,0.76595746,-0.07801418
minus_CT,CORE02,K4,0.21428571,0.42857143,0.42857143,0.3,0.44387754,-0.26847291
minus_CT,CORE02,K5,0.325,0.92857143,0.92857143,0.33333333,0.4875,-0.34166667
minus_CT,CORE02,K6,0.325,0.92857143,0.92857143,0.33333333,0.525,-0.29404762
minus_CT,CORE02,K7,0.32142857,0.64285714,0.64285714,0.39130435,0.32142857,-0.67857143
minus_CT,CORE02,K8,0.26086957,0.42857143,0.42857143,0.4,0.30100335,-0.6057971
minus_CT,CORE03,K2,0.13432836,0.81818182,0.81818182,0.13846154,0.61194029,-0.08518384
minus_CT,CORE03,K3,0.19148936,0.81818182,0.81818182,0.2,0.60928434,-0.12279635
minus_CT,CORE03,K4,0.19230769,0.45454545,0.45454545,0.25,0.57692308,-0.14102564
minus_CT,CORE03,K5,0.36363636,1.0,0.36363636,1.0,1.05785123,0.01988636
minus_CT,CORE03,K6,0.33333333,0.8,0.36363636,0.8,0.45454545,-0.4
minus_CT,CORE03,K7,0.33333333,0.8,0.36363636,0.8,0.36363636,-0.58333334
minus_CT,CORE03,K8,0.41666667,0.83333333,0.45454545,0.83333333,0.49242424,-0.42948718
minus_CT,CORE04,K2,0.16923077,1.0,1.0,0.16923077,0.98461539,-0.00264423
minus_CT,CORE04,K3,0.18918919,0.63636364,0.63636364,0.21212121,1.13513512,0.02252252
minus_CT,CORE04,K4,0.21212121,0.63636364,0.63636364,0.24137931,1.20202018,0.03565062
