modality,core_a,core_b,core_a_n,core_b_n,within_a,within_b,between,median_margin,fraction_margin_positive
ct,CORE01,CORE03,18,11,0.00233646,0.00212537,0.00204261,0.00464206,1.0
ct,CORE02,CORE05,14,5,0.00210407,0.00151904,0.00180598,0.00574776,1.0
wsi,CORE01,CORE03,18,11,16.26390707,9.69193799,4.30289773,23.25872521,0.96551724
wsi,CORE02,CORE05,14,5,8.96233712,7.15057802,5.10131511,17.36909684,1.0
rna,CORE01,CORE03,18,11,0.11604898,0.15984823,0.08079094,0.13974063,1.0
rna,CORE02,CORE05,14,5,0.12649275,0.12163946,0.09843057,0.16305338,1.0
genomic,CORE01,CORE03,18,11,0.00953555,0.00937461,0.00914878,0.05590975,1.0
genomic,CORE02,CORE05,14,5,0.00915353,0.00900288,0.00919795,0.07088207,1.0
